구,연도,항목,예측값,모델
은평구,2024,횡단중_사망자수,8.708998568705283,다항회귀
종로구,2024,횡단중_사망자수,1.0268851136788726,다항회귀
중구,2024,횡단중_사망자수,2.3108276143902913,다항회귀
중랑구,2024,횡단중_사망자수,0.0,다항회귀
강남구,2024,뺑소니_발생건수,0.0,다항회귀
강동구,2024,뺑소니_발생건수,117.46724233170971,다항회귀
강북구,2024,뺑소니_발생건수,2.187705745222047,다항회귀
강서구,2024,뺑소니_발생건수,17.817779507953674,다항회귀
관악구,2024,뺑소니_발생건수,24.66712799668312,다항회귀
광진구,2024,뺑소니_발생건수,24.094058577436954,다항회귀
구로구,2024,뺑소니_발생건수,40.42315454687923,다항회귀
금천구,2024,뺑소니_발생건수,12.669301971793175,다항회귀
노원구,2024,뺑소니_발생건수,0.0,다항회귀
도봉구,2024,뺑소니_발생건수,5.132519132690504,다항회귀
동대문구,2024,뺑소니_발생건수,13.617404350079596,다항회귀
동작구,2024,뺑소니_발생건수,6.096549053676426,다항회귀
마포구,2024,뺑소니_발생건수,74.11589385569096,다항회귀
서대문구,2024,뺑소니_발생건수,22.696657478576526,다항회귀
서초구,2024,뺑소니_발생건수,165.32921230973443,다항회귀
성동구,2024,뺑소니_발생건수,22.06117559876293,다항회귀
성북구,2024,뺑소니_발생건수,5.109178554266691,다항회귀
송파구,2024,뺑소니_발생건수,86.22216882201246,다항회귀
양천구,2024,뺑소니_발생건수,48.39913521334529,다항회귀
영등포구,2024,뺑소니_발생건수,52.117262738291174,다항회귀
용산구,2024,뺑소니_발생건수,134.00163691979833,다항회귀
은평구,2024,뺑소니_발생건수,17.290042690001428,다항회귀
종로구,2024,뺑소니_발생건수,24.28632821753854,다항회귀
중구,2024,뺑소니_발생건수,25.356013126671314,다항회귀
중랑구,2024,뺑소니_발생건수,26.708799224346876,다항회귀
강남구,2024,뺑소니_부상자수,0.0,다항회귀
강동구,2024,뺑소니_부상자수,163.6227187164768,다항회귀
강북구,2024,뺑소니_부상자수,4.427475918084383,다항회귀
강서구,2024,뺑소니_부상자수,44.68930057855323,다항회귀
관악구,2024,뺑소니_부상자수,24.434771694242954,다항회귀
광진구,2024,뺑소니_부상자수,30.635290764272213,다항회귀
구로구,2024,뺑소니_부상자수,57.632697994820774,다항회귀
금천구,2024,뺑소니_부상자수,19.275595689658076,다항회귀
