district,year,case,fire_count
마포구,2010,실화,157.0
마포구,2011,기타,11.0
마포구,2011,방화,9.0
마포구,2011,소계,209.0
마포구,2011,실화,189.0
마포구,2012,기타,21.0
마포구,2012,방화,7.0
마포구,2012,소계,209.0
마포구,2012,실화,181.0
마포구,2013,기타,21.0
마포구,2013,방화,9.0
마포구,2013,소계,226.0
마포구,2013,실화,196.0
마포구,2014,기타,20.0
마포구,2014,방화,6.0
마포구,2014,소계,250.0
마포구,2014,실화,224.0
마포구,2015,기타,30.0
마포구,2015,방화,5.0
마포구,2015,소계,251.0
마포구,2015,실화,216.0
마포구,2016,기타,32.0
마포구,2016,방화,5.0
마포구,2016,소계,283.0
마포구,2016,실화,246.0
마포구,2017,기타,22.0
마포구,2017,방화,3.0
마포구,2017,소계,235.0
마포구,2017,실화,210.0
마포구,2018,기타,15.0
마포구,2018,방화,2.0
마포구,2018,소계,254.0
마포구,2018,실화,237.0
마포구,2019,기타,29.0
마포구,2019,방화,3.0
마포구,2019,소계,246.0
마포구,2019,실화,214.0
마포구,2020,기타,21.0
마포구,2020,방화,6.0
마포구,2020,소계,240.0
마포구,2020,실화,213.0
마포구,2021,기타,25.0
마포구,2021,방화,5.0
마포구,2021,소계,242.0
마포구,2021,실화,212.0
마포구,2022,기타,13.0
마포구,2022,방화,
마포구,2022,소계,250.0
마포구,2022,실화,237.0
마포구,2023,기타,11.0
마포구,2023,방화,6.0
마포구,2023,소계,271.0
마포구,2023,실화,254.0
서대문구,2006,기타,10.0
서대문구,2006,방화,27.0
서대문구,2006,소계,159.0
서대문구,2006,실화,122.0
서대문구,2007,기타,28.0
서대문구,2007,방화,26.0
서대문구,2007,소계,297.0
서대문구,2007,실화,243.0
서대문구,2008,기타,1.0
서대문구,2008,방화,52.0
서대문구,2008,소계,294.0
서대문구,2008,실화,241.0
서대문구,2009,기타,5.0
서대문구,2009,방화,45.0
서대문구,2009,소계,248.0
서대문구,2009,실화,198.0
서대문구,2010,기타,3.0
서대문구,2010,방화,13.0
서대문구,2010,소계,205.0
서대문구,2010,실화,189.0
서대문구,2011,기타,7.0
서대문구,2011,방화,9.0
서대문구,2011,소계,209.0
서대문구,2011,실화,193.0
서대문구,2012,기타,12.0
서대문구,2012,방화,11.0
서대문구,2012,소계,173.0
서대문구,2012,실화,150.0
서대문구,2013,기타,8.0
서대문구,2013,방화,14.0
서대문구,2013,소계,221.0
서대문구,2013,실화,199.0
서대문구,2014,기타,16.0
서대문구,2014,방화,8.0
서대문구,2014,소계,212.0
서대문구,2014,실화,188.0
서대문구,2015,기타,14.0
서대문구,2015,방화,3.0
서대문구,2015,소계,215.0
서대문구,2015,실화,198.0
서대문구,2016,기타,21.0
서대문구,2016,방화,4.0
서대문구,2016,소계,227.0
서대문구,2016,실화,202.0
서대문구,2017,기타,11.0
서대문구,2017,방화,6.0
서대문구,2017,소계,232.0
