district,year,metric,value
강북구,2009,인구 10만명당 사망자수 (명),5.8
강북구,2009,자동차 1만대당 발생건수 (건),151.0
강북구,2010,발생건수 (건),1293.0
강북구,2010,부상자수 (명),1780.0
강북구,2010,사망자수 (명),16.0
강북구,2010,인구 10만명당 부상자수 (명),508.6
강북구,2010,인구 10만명당 사망자수 (명),4.6
강북구,2010,자동차 1만대당 발생건수 (건),137.4
강북구,2011,발생건수 (건),1174.0
강북구,2011,부상자수 (명),1648.0
강북구,2011,사망자수 (명),7.0
강북구,2011,인구 10만명당 부상자수 (명),472.6
강북구,2011,인구 10만명당 사망자수 (명),2.0
강북구,2011,자동차 1만대당 발생건수 (건),124.1
강북구,2012,발생건수 (건),1212.0
강북구,2012,부상자수 (명),1680.0
강북구,2012,사망자수 (명),9.0
강북구,2012,인구 10만명당 부상자수 (명),484.9
강북구,2012,인구 10만명당 사망자수 (명),2.6
강북구,2012,자동차 1만대당 발생건수 (건),125.6
강북구,2013,발생건수 (건),1107.0
강북구,2013,부상자수 (명),1525.0
강북구,2013,사망자수 (명),10.0
강북구,2013,인구 10만명당 부상자수 (명),446.0
강북구,2013,인구 10만명당 사망자수 (명),2.9
강북구,2013,자동차 1만대당 발생건수 (건),115.0
강북구,2014,발생건수 (건),1313.0
강북구,2014,부상자수 (명),1773.0
강북구,2014,사망자수 (명),12.0
강북구,2014,인구 10만명당 부상자수 (명),523.9
강북구,2014,인구 10만명당 사망자수 (명),3.5
강북구,2014,자동차 1만대당 발생건수 (건),136.0
강북구,2015,발생건수 (건),1265.0
강북구,2015,부상자수 (명),1684.0
강북구,2015,사망자수 (명),16.0
강북구,2015,인구 10만명당 부상자수 (명),503.6
강북구,2015,인구 10만명당 사망자수 (명),4.8
강북구,2015,자동차 1만대당 발생건수 (건),129.5
강북구,2016,발생건수 (건),1227.0
강북구,2016,부상자수 (명),1678.0
강북구,2016,사망자수 (명),15.0
강북구,2016,인구 10만명당 부상자수 (명),507.4
강북구,2016,인구 10만명당 사망자수 (명),4.5
강북구,2016,자동차 1만대당 발생건수 (건),124.2
강북구,2017,발생건수 (건),1202.0
강북구,2017,부상자수 (명),1567.0
강북구,2017,사망자수 (명),9.0
강북구,2017,인구 10만명당 부상자수 (명),477.7
강북구,2017,인구 10만명당 사망자수 (명),2.7
강북구,2017,자동차 1만대당 발생건수 (건),120.5
강북구,2018,발생건수 (건),1216.0
강북구,2018,부상자수 (명),1633.0
강북구,2018,사망자수 (명),13.0
강북구,2018,인구 10만명당 부상자수 (명),505.7
강북구,2018,인구 10만명당 사망자수 (명),4.0
강북구,2018,자동차 1만대당 발생건수 (건),122.6
강북구,2019,발생건수 (건),1277.0
강북구,2019,부상자수 (명),1706.0
강북구,2019,사망자수 (명),7.0
강북구,2019,인구 10만명당 부상자수 (명),537.0
강북구,2019,인구 10만명당 사망자수 (명),2.2
강북구,2019,자동차 1만대당 발생건수 (건),130.0
강북구,2020,발생건수 (건),1087.0
