자치구,연도,거주인구,버스승객수,지하철_승객_수,승객수,발생건수,부상자수
마포구,2020,384098.75,4740709.17,5127195.17,9942842.0,106.0,146.17
마포구,2021,379102.75,4587433.17,5041206.08,9666249.0,91.83,131.08
마포구,2022,377141.5,5375110.08,7642950.17,12970693.58,88.75,123.58
마포구,2023,375907.0,5697923.83,8606860.42,14183858.58,104.17,142.92
서대문구,2005,0.0,0.0,0.0,0.0,0.0,0.0
서대문구,2006,0.0,0.0,0.0,0.0,0.0,0.0
서대문구,2007,0.0,0.0,0.0,0.0,0.0,0.0
서대문구,2008,348362.0,0.0,0.0,0.0,0.0,0.0
서대문구,2009,337699.0,0.0,0.0,0.0,0.0,0.0
서대문구,2010,334163.75,0.0,0.0,0.0,0.0,0.0
서대문구,2011,328001.75,0.0,0.0,0.0,0.0,0.0
서대문구,2012,322503.5,0.0,0.0,0.0,0.0,0.0
서대문구,2013,325401.75,0.0,0.0,0.0,0.0,0.0
서대문구,2014,322987.5,0.0,0.0,0.0,0.0,0.0
서대문구,2015,319808.0,0.0,0.0,0.0,0.0,0.0
서대문구,2016,326522.25,0.0,0.0,0.0,0.0,0.0
서대문구,2017,326270.5,4636749.92,4714015.92,9462240.0,86.0,119.17
서대문구,2018,323427.25,5043173.0,4686153.33,9926128.5,86.08,116.92
서대문구,2019,324042.0,4928477.0,5199311.58,10308654.5,92.75,134.08
서대문구,2020,324227.75,4296125.5,4246325.83,8620792.17,77.33,104.67
서대문구,2021,317146.75,4386941.25,4459849.0,8896158.25,77.5,100.5
서대문구,2022,317825.75,5670420.83,2728596.25,8381755.83,81.17,108.58
서대문구,2023,321425.0,6024338.75,3048641.08,8996556.08,76.33,101.67
서초구,2005,0.0,0.0,0.0,0.0,0.0,0.0
서초구,2006,0.0,0.0,0.0,0.0,0.0,0.0
서초구,2007,0.0,0.0,0.0,0.0,0.0,0.0
서초구,2008,412307.25,0.0,0.0,0.0,0.0,0.0
서초구,2009,425026.0,0.0,0.0,0.0,0.0,0.0
서초구,2010,434951.75,0.0,0.0,0.0,0.0,0.0
서초구,2011,439074.75,0.0,0.0,0.0,0.0,0.0
서초구,2012,441002.0,0.0,0.0,0.0,0.0,0.0
서초구,2013,444027.5,0.0,0.0,0.0,0.0,0.0
서초구,2014,450996.0,0.0,0.0,0.0,0.0,0.0
서초구,2015,452251.75,0.0,0.0,0.0,0.0,0.0
서초구,2016,450618.25,0.0,0.0,0.0,0.0,0.0
서초구,2017,447706.0,6371124.25,9442599.83,15922086.42,196.75,295.67
서초구,2018,442213.75,6939600.67,9717676.83,16855553.5,206.5,303.33
서초구,2019,435750.75,6649348.75,9413707.25,16248584.33,201.5,294.17
서초구,2020,431720.75,6053556.0,8170118.67,14312855.75,187.5,256.25
서초구,2021,420872.25,5955075.92,8213945.5,14223231.92,176.5,244.33
서초구,2022,410667.0,6514776.25,9752555.92,16209023.5,188.67,282.58
서초구,2023,410144.0,6553871.75,10612588.67,17022553.92,180.67,276.58
성동구,2005,0.0,0.0,0.0,0.0,0.0,0.0
성동구,2006,0.0,0.0,0.0,0.0,0.0,0.0
성동구,2007,0.0,0.0,0.0,0.0,0.0,0.0
성동구,2008,332572.75,0.0,0.0,0.0,0.0,0.0
성동구,2009,318155.0,0.0,0.0,0.0,0.0,0.0
