구,연월,거주인구
강남구,2010-02,570913.0
송파구,2010-02,689909.0
강동구,2010-02,490945.0
종로구,2010-03,177023.0
중구,2010-03,138102.0
용산구,2010-03,250844.0
성동구,2010-03,316113.0
광진구,2010-03,386292.0
동대문구,2010-03,374039.0
중랑구,2010-03,431283.0
성북구,2010-03,484359.0
강북구,2010-03,342669.0
도봉구,2010-03,371095.0
노원구,2010-03,614603.0
은평구,2010-03,474165.0
서대문구,2010-03,336490.0
마포구,2010-03,392087.0
양천구,2010-03,504928.0
강서구,2010-03,578257.0
구로구,2010-03,449187.0
금천구,2010-03,262337.0
영등포구,2010-03,440863.0
동작구,2010-03,407966.0
관악구,2010-03,546814.0
서초구,2010-03,432888.0
강남구,2010-03,570913.0
송파구,2010-03,689909.0
강동구,2010-03,490945.0
종로구,2010-04,176143.0
중구,2010-04,137785.0
용산구,2010-04,250345.0
성동구,2010-04,315005.0
광진구,2010-04,385166.0
동대문구,2010-04,373501.0
중랑구,2010-04,429677.0
성북구,2010-04,483595.0
강북구,2010-04,343442.0
도봉구,2010-04,369434.0
노원구,2010-04,613120.0
은평구,2010-04,475538.0
서대문구,2010-04,334709.0
마포구,2010-04,391578.0
양천구,2010-04,502933.0
강서구,2010-04,577806.0
구로구,2010-04,448882.0
금천구,2010-04,261435.0
영등포구,2010-04,439489.0
동작구,2010-04,407947.0
관악구,2010-04,545594.0
서초구,2010-04,433435.0
강남구,2010-04,570163.0
송파구,2010-04,688764.0
강동구,2010-04,492233.0
종로구,2010-05,176143.0
중구,2010-05,137785.0
용산구,2010-05,250345.0
성동구,2010-05,315005.0
광진구,2010-05,385166.0
동대문구,2010-05,373501.0
중랑구,2010-05,429677.0
성북구,2010-05,483595.0
강북구,2010-05,343442.0
도봉구,2010-05,369434.0
노원구,2010-05,613120.0
은평구,2010-05,475538.0
서대문구,2010-05,334709.0
마포구,2010-05,391578.0
양천구,2010-05,502933.0
강서구,2010-05,577806.0
구로구,2010-05,448882.0
금천구,2010-05,261435.0
영등포구,2010-05,439489.0
동작구,2010-05,407947.0
관악구,2010-05,545594.0
서초구,2010-05,433435.0
강남구,2010-05,570163.0
송파구,2010-05,688764.0
강동구,2010-05,492233.0
종로구,2010-06,176143.0
중구,2010-06,137785.0
용산구,2010-06,250345.0
성동구,2010-06,315005.0
광진구,2010-06,385166.0
동대문구,2010-06,373501.0
중랑구,2010-06,429677.0
성북구,2010-06,483595.0
강북구,2010-06,343442.0
도봉구,2010-06,369434.0
