district,metric,year,weather,count
종로구,부상자 (명),2020,안개,-
종로구,부상자 (명),2020,흐림,43
종로구,부상자 (명),2021,눈,3
종로구,부상자 (명),2021,맑음,941
종로구,부상자 (명),2021,비,62
종로구,부상자 (명),2021,안개,-
종로구,부상자 (명),2021,흐림,36
종로구,부상자 (명),2022,눈,2
종로구,부상자 (명),2022,맑음,1200
종로구,부상자 (명),2022,비,68
종로구,부상자 (명),2022,안개,-
종로구,부상자 (명),2022,흐림,76
종로구,부상자 (명),2023,눈,3
종로구,부상자 (명),2023,맑음,1201
종로구,부상자 (명),2023,비,87
종로구,부상자 (명),2023,안개,-
종로구,부상자 (명),2023,흐림,29
중구,발생건수 (건),2013,눈,10
중구,발생건수 (건),2013,맑음,1178
중구,발생건수 (건),2013,비,108
중구,발생건수 (건),2013,안개,-
중구,발생건수 (건),2013,흐림,138
중구,발생건수 (건),2014,눈,7
중구,발생건수 (건),2014,맑음,1073
중구,발생건수 (건),2014,비,79
중구,발생건수 (건),2014,안개,1
중구,발생건수 (건),2014,흐림,134
중구,발생건수 (건),2015,눈,4
중구,발생건수 (건),2015,맑음,1108
중구,발생건수 (건),2015,비,110
중구,발생건수 (건),2015,안개,-
중구,발생건수 (건),2015,흐림,111
중구,발생건수 (건),2016,눈,5
중구,발생건수 (건),2016,맑음,1115
중구,발생건수 (건),2016,비,81
중구,발생건수 (건),2016,안개,-
중구,발생건수 (건),2016,흐림,86
중구,발생건수 (건),2017,눈,4
중구,발생건수 (건),2017,맑음,1125
중구,발생건수 (건),2017,비,61
중구,발생건수 (건),2017,안개,-
중구,발생건수 (건),2017,흐림,59
중구,발생건수 (건),2018,눈,5
중구,발생건수 (건),2018,맑음,1002
중구,발생건수 (건),2018,비,68
중구,발생건수 (건),2018,안개,-
중구,발생건수 (건),2018,흐림,47
중구,발생건수 (건),2019,눈,1
중구,발생건수 (건),2019,맑음,1065
중구,발생건수 (건),2019,비,67
중구,발생건수 (건),2019,안개,-
중구,발생건수 (건),2019,흐림,49
중구,발생건수 (건),2020,눈,-
중구,발생건수 (건),2020,맑음,820
중구,발생건수 (건),2020,비,66
중구,발생건수 (건),2020,안개,-
중구,발생건수 (건),2020,흐림,66
중구,발생건수 (건),2021,눈,3
중구,발생건수 (건),2021,맑음,740
중구,발생건수 (건),2021,비,32
중구,발생건수 (건),2021,안개,-
중구,발생건수 (건),2021,흐림,70
중구,발생건수 (건),2022,눈,6
중구,발생건수 (건),2022,맑음,819
중구,발생건수 (건),2022,비,50
중구,발생건수 (건),2022,안개,-
중구,발생건수 (건),2022,흐림,58
중구,발생건수 (건),2023,눈,3
중구,발생건수 (건),2023,맑음,809
중구,발생건수 (건),2023,비,52
중구,발생건수 (건),2023,안개,-
중구,발생건수 (건),2023,흐림,62
중구,사망자 (명),2013,눈,-
중구,사망자 (명),2013,맑음,9
중구,사망자 (명),2013,비,1
중구,사망자 (명),2013,안개,-
중구,사망자 (명),2013,흐림,-
중구,사망자 (명),2014,눈,-
중구,사망자 (명),2014,맑음,6
중구,사망자 (명),2014,비,-
중구,사망자 (명),2014,안개,-
중구,사망자 (명),2014,흐림,1
중구,사망자 (명),2015,눈,-
중구,사망자 (명),2015,맑음,8
중구,사망자 (명),2015,비,-
중구,사망자 (명),2015,안개,-
중구,사망자 (명),2015,흐림,-
중구,사망자 (명),2016,눈,-
중구,사망자 (명),2016,맑음,13
중구,사망자 (명),2016,비,1
중구,사망자 (명),2016,안개,-
중구,사망자 (명),2016,흐림,3
중구,사망자 (명),2017,눈,-
중구,사망자 (명),2017,맑음,4
중구,사망자 (명),2017,비,-
중구,사망자 (명),2017,안개,-
중구,사망자 (명),2017,흐림,-
중구,사망자 (명),2018,눈,-
중구,사망자 (명),2018,맑음,8
중구,사망자 (명),2018,비,-
중구,사망자 (명),2018,안개,-
중구,사망자 (명),2018,흐림,1
중구,사망자 (명),2019,눈,-
중구,사망자 (명),2019,맑음,5
중구,사망자 (명),2019,비,-
중구,사망자 (명),2019,안개,-
중구,사망자 (명),2019,흐림,-
중구,사망자 (명),2020,눈,-
중구,사망자 (명),2020,맑음,6
중구,사망자 (명),2020,비,-
중구,사망자 (명),2020,안개,-
중구,사망자 (명),2020,흐림,-
중구,사망자 (명),2021,눈,-
중구,사망자 (명),2021,맑음,3
중구,사망자 (명),2021,비,-
중구,사망자 (명),2021,안개,-
중구,사망자 (명),2021,흐림,-
중구,사망자 (명),2022,눈,-
