구,연월,발생건수,부상자수,사망자수
강동구,2018-04-01,124,152,2
강동구,2018-05-01,123,190,1
강동구,2018-06-01,119,178,0
강동구,2018-07-01,124,171,2
강동구,2018-08-01,120,161,0
강동구,2018-09-01,121,159,0
강동구,2018-10-01,138,189,0
강동구,2018-11-01,114,135,3
강동구,2018-12-01,132,193,0
강동구,2019-01-01,98,115,1
강동구,2019-02-01,87,133,0
강동구,2019-03-01,122,163,0
강동구,2019-04-01,112,153,0
강동구,2019-05-01,139,192,1
강동구,2019-06-01,123,179,1
강동구,2019-07-01,146,189,2
강동구,2019-08-01,127,175,2
강동구,2019-09-01,98,137,2
강동구,2019-10-01,108,144,1
강동구,2019-11-01,146,199,0
강동구,2019-12-01,108,131,1
강동구,2020-01-01,100,122,0
강동구,2020-02-01,102,130,1
강동구,2020-03-01,66,82,0
강동구,2020-04-01,117,151,1
강동구,2020-05-01,119,150,0
강동구,2020-06-01,118,150,0
강동구,2020-07-01,100,122,0
강동구,2020-08-01,100,123,1
강동구,2020-09-01,122,173,2
강동구,2020-10-01,109,137,1
강동구,2020-11-01,103,126,0
강동구,2020-12-01,112,134,1
강동구,2021-01-01,105,151,1
강동구,2021-02-01,80,106,2
강동구,2021-03-01,104,144,0
강동구,2021-04-01,101,149,1
강동구,2021-05-01,89,115,0
강동구,2021-06-01,82,106,0
강동구,2021-07-01,70,85,0
강동구,2021-08-01,79,122,0
강동구,2021-09-01,73,90,1
강동구,2021-10-01,89,113,2
강동구,2021-11-01,97,126,2
강동구,2021-12-01,78,106,0
강동구,2022-01-01,109,166,1
강동구,2022-02-01,73,83,2
강동구,2022-03-01,90,117,1
강동구,2022-04-01,93,136,0
강동구,2022-05-01,87,116,0
강동구,2022-06-01,90,132,0
강동구,2022-07-01,101,130,0
강동구,2022-08-01,103,129,1
강동구,2022-09-01,94,125,0
강동구,2022-10-01,112,142,1
강동구,2022-11-01,96,123,1
강동구,2022-12-01,103,154,0
강동구,2023-01-01,94,125,1
강동구,2023-02-01,83,108,0
강동구,2023-03-01,73,85,1
강동구,2023-04-01,91,118,0
강동구,2023-05-01,111,137,0
강동구,2023-06-01,105,131,0
강동구,2023-07-01,114,156,1
강동구,2023-08-01,100,129,1
강동구,2023-09-01,109,143,0
강동구,2023-10-01,92,129,0
강동구,2023-11-01,113,138,0
강동구,2023-12-01,100,123,0
강동구,2024-01-01,70,93,0
강동구,2024-02-01,105,140,0
강동구,2024-03-01,117,150,1
강동구,2024-04-01,99,169,1
강동구,2024-05-01,121,167,2
강동구,2024-06-01,143,193,1
강동구,2024-07-01,121,156,1
강동구,2024-08-01,132,188,0
강동구,2024-09-01,126,168,1
강동구,2024-10-01,138,176,0
강동구,2024-11-01,133,166,1
강동구,2024-12-01,123,155,1
강북구,2005-01-01,88,142,0
강북구,2005-02-01,71,98,1
강북구,2005-03-01,91,119,3
강북구,2005-04-01,92,140,1
강북구,2005-05-01,82,120,3
강북구,2005-06-01,76,113,3
강북구,2005-07-01,101,125,0
강북구,2005-08-01,92,132,1
강북구,2005-09-01,118,166,2
강북구,2005-10-01,100,137,1
강북구,2005-11-01,113,150,0
강북구,2005-12-01,112,164,3
강북구,2006-01-01,64,87,1
강북구,2006-02-01,75,114,0
강북구,2006-03-01,114,165,1
강북구,2006-04-01,118,176,1
강북구,2006-05-01,116,157,0
강북구,2006-06-01,102,134,0
강북구,2006-07-01,103,183,0
강북구,2006-08-01,109,161,2
강북구,2006-09-01,134,181,0
강북구,2006-10-01,114,150,1
강북구,2006-11-01,102,142,0
강북구,2006-12-01,107,127,1
강북구,2007-01-01,79,106,0
강북구,2007-02-01,81,120,1
강북구,2007-03-01,117,168,2
강북구,2007-04-01,102,144,0
강북구,2007-05-01,109,170,0
강북구,2007-06-01,120,168,0
강북구,2007-07-01,116,160,1
강북구,2007-08-01,104,150,1
강북구,2007-09-01,99,150,2
강북구,2007-10-01,133,174,2
강북구,2007-11-01,95,118,1
강북구,2007-12-01,108,164,1
강북구,2008-01-01,75,94,0
강북구,2008-02-01,77,121,0
강북구,2008-03-01,112,169,2
강북구,2008-04-01,123,174,1
강북구,2008-05-01,106,135,1
강북구,2008-06-01,125,174,0
강북구,2008-07-01,126,164,1
강북구,2008-08-01,119,169,1
강북구,2008-09-01,134,190,1
강북구,2008-10-01,121,156,0
강북구,2008-11-01,123,161,3
강북구,2008-12-01,132,180,2
강북구,2009-01-01,110,161,1
강북구,2009-02-01,111,160,0
강북구,2009-03-01,101,144,0
강북구,2009-04-01,114,157,8
강북구,2009-05-01,108,152,0
강북구,2009-06-01,132,157,3
강북구,2009-07-01,113,155,3
강북구,2009-08-01,110,150,2
강북구,2009-09-01,120,155,2
강북구,2009-10-01,134,165,1
강북구,2009-11-01,107,168,0
강북구,2009-12-01,132,225,0
강북구,2010-01-01,93,127,2
강북구,2010-02-01,93,131,2
강북구,2010-03-01,120,151,2
강북구,2010-04-01,112,147,0
강북구,2010-05-01,120,153,0
강북구,2010-06-01,108,148,1
강북구,2010-07-01,113,172,0
강북구,2010-08-01,122,159,3
강북구,2010-09-01,97,132,1
강북구,2010-10-01,113,183,3
강북구,2010-11-01,100,136,1
강북구,2010-12-01,102,141,1
강북구,2011-01-01,84,123,0
강북구,2011-02-01,69,117,0
강북구,2011-03-01,96,144,0
강북구,2011-04-01,96,145,1
강북구,2011-05-01,106,136,1
강북구,2011-06-01,110,162,0
강북구,2011-07-01,97,139,0
강북구,2011-08-01,108,143,1
강북구,2011-09-01,110,155,1
강북구,2011-10-01,109,141,1
강북구,2011-11-01,108,143,2
강북구,2011-12-01,81,100,0
강북구,2012-01-01,80,126,1
강북구,2012-02-01,98,129,1
강북구,2012-03-01,98,113,1
강북구,2012-04-01,108,159,0
강북구,2012-05-01,109,149,1
강북구,2012-06-01,105,140,1
강북구,2012-07-01,112,159,0
강북구,2012-08-01,112,164,1
강북구,2012-09-01,99,134,1
강북구,2012-10-01,110,161,0
강북구,2012-11-01,88,121,1
강북구,2012-12-01,93,125,1
강북구,2013-01-01,76,111,0
강북구,2013-02-01,70,98,0
강북구,2013-03-01,85,113,0
강북구,2013-04-01,85,116,0
강북구,2013-05-01,97,135,1
강북구,2013-06-01,103,126,2
강북구,2013-07-01,99,138,1
강북구,2013-08-01,113,155,1
강북구,2013-09-01,100,127,1
강북구,2013-10-01,100,139,0
강북구,2013-11-01,82,127,0
강북구,2013-12-01,97,140,4
강북구,2014-01-01,75,117,0
강북구,2014-02-01,71,97,1
강북구,2014-03-01,111,152,1
강북구,2014-04-01,111,159,0
강북구,2014-05-01,103,137,0
강북구,2014-06-01,113,159,2
강북구,2014-07-01,126,144,2
강북구,2014-08-01,123,171,1
강북구,2014-09-01,96,142,2
강북구,2014-10-01,129,164,0
강북구,2014-11-01,132,163,1
강북구,2014-12-01,123,168,2
강북구,2015-01-01,80,106,1
강북구,2015-02-01,70,117,3
강북구,2015-03-01,101,130,4
강북구,2015-04-01,105,143,1
강북구,2015-05-01,102,137,0
강북구,2015-06-01,132,169,1
강북구,2015-07-01,103,144,1
강북구,2015-08-01,104,140,0
강북구,2015-09-01,120,144,2
강북구,2015-10-01,113,154,2
강북구,2015-11-01,119,148,0
강북구,2015-12-01,116,152,1
강북구,2016-01-01,98,129,1
강북구,2016-02-01,68,85,0
강북구,2016-03-01,112,152,1
강북구,2016-04-01,120,163,2
강북구,2016-05-01,115,170,2
강북구,2016-06-01,116,161,1
강북구,2016-07-01,93,131,1
강북구,2016-08-01,94,126,1
강북구,2016-09-01,105,152,3
강북구,2016-10-01,100,131,0
강북구,2016-11-01,105,150,2
강북구,2016-12-01,101,128,1
강북구,2017-01-01,90,126,0
강북구,2017-02-01,77,109,1
강북구,2017-03-01,111,138,2
강북구,2017-04-01,88,108,1
강북구,2017-05-01,90,128,1
강북구,2017-06-01,97,129,0
강북구,2017-07-01,103,125,0
강북구,2017-08-01,104,145,0
강북구,2017-09-01,107,143,0
강북구,2017-10-01,139,167,3
강북구,2017-11-01,109,136,0
강북구,2017-12-01,87,113,1
강북구,2018-01-01,102,160,0
강북구,2018-02-01,103,139,2
강북구,2018-03-01,96,135,1
강북구,2018-04-01,99,136,1
강북구,2018-05-01,125,158,0
강북구,2018-06-01,93,118,1
강북구,2018-07-01,89,133,3
강북구,2018-08-01,102,136,1
강북구,2018-09-01,104,129,0
강북구,2018-10-01,107,128,2
강북구,2018-11-01,97,123,1
강북구,2018-12-01,99,138,1
강북구,2019-01-01,88,114,0
강북구,2019-02-01,76,107,0
강북구,2019-03-01,119,156,1
강북구,2019-04-01,112,151,1
강북구,2019-05-01,116,153,0
강북구,2019-06-01,117,153,1
강북구,2019-07-01,88,108,0
강북구,2019-08-01,125,173,1
강북구,2019-09-01,112,163,1
강북구,2019-10-01,114,148,1
강북구,2019-11-01,115,149,1
강북구,2019-12-01,95,131,0
강북구,2020-01-01,89,121,0
강북구,2020-02-01,103,128,1
강북구,2020-03-01,92,126,0
강북구,2020-04-01,79,95,1
강북구,2020-05-01,98,119,0
강북구,2020-06-01,99,131,0
강북구,2020-07-01,86,118,0
강북구,2020-08-01,83,114,0
강북구,2020-09-01,104,131,0
강북구,2020-10-01,96,124,0
강북구,2020-11-01,79,107,1
강북구,2020-12-01,79,106,0
강북구,2021-01-01,100,128,0
강북구,2021-02-01,87,105,1
강북구,2021-03-01,74,94,2
강북구,2021-04-01,93,113,0
강북구,2021-05-01,90,115,0
