연월,구,대중교통_승객_수
2022-12-01,광진구,8736766
2022-12-01,마포구,14248531
2022-12-01,강남구,23370074
2022-12-01,서초구,17286083
2022-12-01,중랑구,6889428
2022-12-01,중구,15984695
2022-12-01,종로구,14909621
2022-12-01,은평구,9623865
2022-12-01,용산구,7967433
2022-12-01,서대문구,8988901
2022-12-01,양천구,7336464
2022-12-01,송파구,15760594
2022-12-01,성북구,10529255
2022-12-01,성동구,8731491
2022-12-01,영등포구,14396506
2023-01-01,동대문구,7777950
2023-01-01,도봉구,5243535
2023-01-01,노원구,8444947
2023-01-01,금천구,5320133
2023-01-01,구로구,9164439
2023-01-01,관악구,13886224
2023-01-01,강서구,10229351
2023-01-01,강북구,7041082
2023-01-01,강동구,6861672
2023-01-01,동작구,8830822
2023-01-01,광진구,7883984
2023-01-01,강남구,21750476
2023-01-01,마포구,12791232
2023-01-01,서초구,15931078
2023-01-01,서대문구,7986550
2023-01-01,중랑구,6238069
2023-01-01,중구,13917982
2023-01-01,은평구,8711072
2023-01-01,용산구,7108922
2023-01-01,종로구,13081686
2023-01-01,양천구,6735648
2023-01-01,송파구,14005108
2023-01-01,성북구,9181824
2023-01-01,성동구,7893440
2023-01-01,영등포구,13199564
2023-02-01,금천구,5290399
2023-02-01,동대문구,7785550
2023-02-01,도봉구,5210347
2023-02-01,노원구,8546905
2023-02-01,강남구,22247976
2023-02-01,동작구,8807196
2023-02-01,관악구,13867349
2023-02-01,강서구,10264875
2023-02-01,강북구,6955242
2023-02-01,강동구,6929967
2023-02-01,광진구,7971108
2023-02-01,마포구,13058390
2023-02-01,구로구,9164525
2023-02-01,서초구,16199179
2023-02-01,중랑구,6245929
2023-02-01,중구,14304938
2023-02-01,종로구,13555384
2023-02-01,은평구,8757345
2023-02-01,용산구,7286854
2023-02-01,서대문구,8083170
2023-02-01,양천구,6774369
2023-02-01,송파구,14216174
2023-02-01,성북구,9183216
2023-02-01,성동구,8005434
2023-02-01,영등포구,13342894
2023-03-01,도봉구,6010762
2023-03-01,노원구,10135447
2023-03-01,금천구,5938279
2023-03-01,구로구,10410848
2023-03-01,광진구,9307105
2023-03-01,강서구,11579241
2023-03-01,강북구,8069271
2023-03-01,강동구,7844436
2023-03-01,강남구,24601234
2023-03-01,동대문구,9394458
2023-03-01,관악구,16106062
2023-03-01,동작구,10570901
2023-03-01,마포구,15040587
2023-03-01,서대문구,9778140
2023-03-01,중구,16718463
2023-03-01,종로구,15945224
2023-03-01,은평구,10176828
2023-03-01,용산구,8523425
2023-03-01,영등포구,15116989
2023-03-01,중랑구,7293474
2023-03-01,송파구,16028845
2023-03-01,성북구,11553100
2023-03-01,성동구,9345076
2023-03-01,서초구,18165434
2023-03-01,양천구,7657663
2023-04-01,도봉구,5519467
2023-04-01,노원구,9216267
2023-04-01,금천구,5414556
2023-04-01,구로구,9550546
2023-04-01,강남구,22279839
2023-04-01,관악구,14723125
2023-04-01,강서구,10622602
2023-04-01,강북구,7416599
2023-04-01,강동구,7150306
2023-04-01,동대문구,8575073
2023-04-01,광진구,8570229
2023-04-01,동작구,9665939
2023-04-01,영등포구,14071652
2023-04-01,서대문구,8894478
2023-04-01,서초구,16557162
2023-04-01,성동구,8615025
2023-04-01,성북구,10457422
2023-04-01,송파구,15123654
2023-04-01,양천구,6999448
2023-04-01,용산구,7946014
2023-04-01,은평구,9351771
2023-04-01,종로구,14624287
2023-04-01,중구,15537618
2023-04-01,중랑구,6668913
2023-04-01,마포구,13822564
2023-05-01,동작구,10368002
2023-05-01,동대문구,9216597
2023-05-01,도봉구,5898967
2023-05-01,노원구,10023369
2023-05-01,강북구,7964554
2023-05-01,구로구,10135587
2023-05-01,광진구,9181016
2023-05-01,강서구,11298019
2023-05-01,마포구,14722142
2023-05-01,금천구,5797120
2023-05-01,서대문구,9567289
2023-05-01,영등포구,14635013
2023-05-01,성동구,9085976
2023-05-01,성북구,11363324
2023-05-01,송파구,15775214
2023-05-01,양천구,7436887
2023-05-01,용산구,8490059
2023-05-01,은평구,9951464
2023-05-01,종로구,15757463
2023-05-01,중구,16685029
2023-05-01,중랑구,7214860
2023-05-01,강동구,7579315
2023-05-01,서초구,17692232
2023-05-01,강남구,23669845
2023-05-01,관악구,15590538
2023-06-01,양천구,7360447
2023-06-01,강북구,7716986
2023-06-01,강서구,11238973
2023-06-01,관악구,15266454
2023-06-01,광진구,8778947
2023-06-01,구로구,10023931
2023-06-01,금천구,5730827
2023-06-01,노원구,9499927
2023-06-01,도봉구,5772523
2023-06-01,동대문구,8896453
2023-06-01,동작구,10040712
2023-06-01,강동구,7531738
2023-06-01,마포구,14408537
2023-06-01,서초구,17407271
2023-06-01,성동구,8867134
2023-06-01,성북구,10681380
2023-06-01,송파구,15719494
2023-06-01,영등포구,14578639
2023-06-01,용산구,8443377
2023-06-01,은평구,9748840
2023-06-01,종로구,15078088
2023-06-01,중구,16339637
2023-06-01,중랑구,6963095
2023-06-01,서대문구,9191826
2023-06-01,강남구,23889380
2023-07-01,강남구,23519014
2023-07-01,중구,15558509
2023-07-01,강동구,7292545
2023-07-01,강북구,7441546
2023-07-01,강서구,10938385
2023-07-01,관악구,14630850
2023-07-01,광진구,8302691
2023-07-01,구로구,9683963
2023-07-01,금천구,5562162
2023-07-01,노원구,9006643
2023-07-01,도봉구,5553050
2023-07-01,중랑구,6674412
2023-07-01,동작구,9410121
2023-07-01,동대문구,8316855
2023-07-01,서대문구,8732104
2023-07-01,서초구,16882968
2023-07-01,성동구,8493357
2023-07-01,성북구,9885510
2023-07-01,송파구,15224218
2023-07-01,양천구,7143346
2023-07-01,영등포구,14115969
2023-07-01,용산구,8008277
2023-07-01,은평구,9394729
2023-07-01,종로구,14246897
2023-07-01,마포구,14109534
2023-08-01,도봉구,5627504
2023-08-01,노원구,9133135
2023-08-01,금천구,5696000
2023-08-01,구로구,9822029
2023-08-01,강남구,23873594
2023-08-01,관악구,14771016
2023-08-01,강서구,11181605
2023-08-01,강북구,7547412
2023-08-01,강동구,7446153
2023-08-01,동대문구,8523051
2023-08-01,광진구,8455702
2023-08-01,동작구,9584337
2023-08-01,양천구,7267568
2023-08-01,서대문구,8873921
2023-08-01,마포구,14204013
2023-08-01,중구,15890713
2023-08-01,종로구,14464252
2023-08-01,용산구,8152775
2023-08-01,중랑구,6784685
2023-08-01,은평구,9597661
2023-08-01,송파구,15336780
2023-08-01,성북구,10009840
2023-08-01,성동구,8642352
2023-08-01,서초구,17000786
2023-08-01,영등포구,14448097
2023-09-01,구로구,9570871
2023-09-01,도봉구,5583460
2023-09-01,노원구,9280883
2023-09-01,금천구,5446842
2023-09-01,광진구,8554715
2023-09-01,동대문구,8919397
2023-09-01,강서구,10798860
2023-09-01,강북구,7501393
2023-09-01,강동구,7253891
2023-09-01,강남구,22576941
2023-09-01,관악구,14665237
2023-09-01,동작구,9872350
2023-09-01,영등포구,14075993
2023-09-01,서대문구,9116661
2023-09-01,중구,15912163
2023-09-01,종로구,14891575
2023-09-01,은평구,9459705
2023-09-01,용산구,8267323
2023-09-01,마포구,14054734
2023-09-01,중랑구,6751231
2023-09-01,송파구,14932314
2023-09-01,성북구,10606739
2023-09-01,성동구,8607966
2023-09-01,서초구,16634393
2023-09-01,양천구,7063887
2023-10-01,동대문구,8996814
2023-10-01,도봉구,5729003
2023-10-01,노원구,9516882
2023-10-01,금천구,5552784
2023-10-01,구로구,10102284
2023-10-01,관악구,15064018
2023-10-01,강서구,11118342
2023-10-01,강북구,7681395
2023-10-01,강동구,7058858
2023-10-01,동작구,10097463
2023-10-01,광진구,8929072
2023-10-01,마포구,14814588
2023-10-01,강남구,22963832
2023-10-01,서초구,17164402
2023-10-01,중랑구,6882752
2023-10-01,중구,16902725
2023-10-01,종로구,15494159
2023-10-01,은평구,9784328
2023-10-01,용산구,8648051
2023-10-01,서대문구,9251208
2023-10-01,양천구,7205749
2023-10-01,송파구,15576506
2023-10-01,성북구,10776828
2023-10-01,성동구,8923120
2023-10-01,영등포구,14505813
2023-11-01,동대문구,9213162
2023-11-01,도봉구,5754976
2023-11-01,노원구,9748807
2023-11-01,금천구,5746159
2023-11-01,구로구,10575955
2023-11-01,관악구,15224860
2023-11-01,강서구,11388078
2023-11-01,강북구,7677713
2023-11-01,강동구,6861264
2023-11-01,동작구,10243333
2023-11-01,광진구,8873818
2023-11-01,강남구,23943972
2023-11-01,마포구,14829737
2023-11-01,서초구,17656810
2023-11-01,서대문구,9507117
2023-11-01,중랑구,6991660
2023-11-01,중구,17213390
2023-11-01,은평구,9792612
2023-11-01,용산구,8410477
2023-11-01,종로구,14899590
2023-11-01,양천구,7384880
2023-11-01,송파구,15865940
2023-11-01,성북구,11031118
2023-11-01,성동구,9169020
2023-11-01,영등포구,14793972
2023-12-01,금천구,5477674
2023-12-01,동대문구,8757701
2023-12-01,도봉구,5626885
2023-12-01,노원구,9551882
2023-12-01,구로구,10213853
2023-12-01,동작구,9735254
2023-12-01,관악구,14729147
2023-12-01,강서구,11079395
2023-12-01,강북구,7488210
2023-12-01,강동구,6731306
