district,year,weather,발생건수,사상자수
금천구,2021,비,61.0,101.0
금천구,2021,흐림,33.0,46.0
금천구,2022,눈,3.0,5.0
금천구,2022,맑음,763.0,1054.0
금천구,2022,비,38.0,52.0
금천구,2022,흐림,34.0,43.0
금천구,2023,눈,0.0,0.0
금천구,2023,맑음,784.0,1116.0
금천구,2023,비,58.0,81.0
금천구,2023,흐림,25.0,28.0
노원구,2013,눈,18.0,29.0
노원구,2013,맑음,1271.0,1822.0
노원구,2013,비,126.0,178.0
노원구,2013,흐림,106.0,158.0
노원구,2014,눈,10.0,15.0
노원구,2014,맑음,1364.0,1856.0
노원구,2014,비,90.0,113.0
노원구,2014,흐림,47.0,66.0
노원구,2015,눈,8.0,15.0
노원구,2015,맑음,1308.0,1905.0
노원구,2015,비,99.0,140.0
노원구,2015,흐림,43.0,52.0
노원구,2016,눈,7.0,9.0
노원구,2016,맑음,1378.0,1978.0
노원구,2016,비,103.0,166.0
노원구,2016,흐림,47.0,76.0
노원구,2017,눈,13.0,23.0
노원구,2017,맑음,1348.0,1839.0
노원구,2017,비,99.0,136.0
노원구,2017,흐림,39.0,68.0
노원구,2018,눈,10.0,11.0
노원구,2018,맑음,1324.0,1872.0
노원구,2018,비,125.0,196.0
노원구,2018,흐림,94.0,138.0
노원구,2019,눈,3.0,6.0
노원구,2019,맑음,1518.0,2079.0
노원구,2019,비,111.0,134.0
노원구,2019,흐림,70.0,90.0
노원구,2020,눈,5.0,7.0
노원구,2020,맑음,1273.0,1759.0
노원구,2020,비,105.0,147.0
노원구,2020,흐림,77.0,106.0
노원구,2021,눈,6.0,7.0
노원구,2021,맑음,1255.0,1743.0
노원구,2021,비,90.0,125.0
노원구,2021,흐림,50.0,57.0
노원구,2022,눈,10.0,12.0
노원구,2022,맑음,1240.0,1730.0
노원구,2022,비,69.0,95.0
노원구,2022,흐림,56.0,71.0
노원구,2023,눈,5.0,6.0
노원구,2023,맑음,1247.0,1723.0
노원구,2023,비,82.0,104.0
노원구,2023,흐림,27.0,37.0
도봉구,2013,눈,9.0,13.0
도봉구,2013,맑음,736.0,1004.0
도봉구,2013,비,60.0,75.0
도봉구,2013,흐림,70.0,95.0
도봉구,2014,눈,6.0,12.0
도봉구,2014,맑음,765.0,1009.0
도봉구,2014,비,55.0,80.0
도봉구,2014,흐림,39.0,50.0
도봉구,2015,눈,3.0,8.0
도봉구,2015,맑음,800.0,1087.0
도봉구,2015,비,82.0,120.0
도봉구,2015,흐림,29.0,48.0
도봉구,2016,눈,2.0,2.0
도봉구,2016,맑음,832.0,1138.0
도봉구,2016,비,75.0,118.0
도봉구,2016,흐림,26.0,43.0
도봉구,2017,눈,4.0,5.0
도봉구,2017,맑음,807.0,1061.0
도봉구,2017,비,61.0,80.0
도봉구,2017,흐림,70.0,99.0
도봉구,2018,눈,4.0,7.0
도봉구,2018,맑음,709.0,911.0
도봉구,2018,비,66.0,86.0
도봉구,2018,흐림,45.0,63.0
도봉구,2019,눈,1.0,1.0
도봉구,2019,맑음,743.0,1011.0
도봉구,2019,비,55.0,78.0
도봉구,2019,흐림,53.0,77.0
도봉구,2020,눈,2.0,5.0
도봉구,2020,맑음,618.0,822.0
도봉구,2020,비,66.0,90.0
도봉구,2020,흐림,54.0,79.0
도봉구,2021,눈,3.0,3.0
도봉구,2021,맑음,497.0,641.0
도봉구,2021,비,34.0,47.0
도봉구,2021,흐림,34.0,51.0
도봉구,2022,눈,1.0,1.0
도봉구,2022,맑음,459.0,619.0
도봉구,2022,비,38.0,47.0
도봉구,2022,흐림,19.0,24.0
도봉구,2023,눈,1.0,2.0
도봉구,2023,맑음,467.0,608.0
도봉구,2023,비,43.0,53.0
도봉구,2023,흐림,17.0,27.0
동대문구,2013,눈,7.0,9.0
동대문구,2013,맑음,1601.0,2058.0
동대문구,2013,비,159.0,199.0
동대문구,2013,흐림,166.0,223.0
동대문구,2014,눈,14.0,19.0
동대문구,2014,맑음,1588.0,2061.0
동대문구,2014,비,103.0,151.0
동대문구,2014,흐림,95.0,131.0
동대문구,2015,눈,2.0,4.0
동대문구,2015,맑음,1803.0,2368.0
동대문구,2015,비,165.0,219.0
동대문구,2015,흐림,106.0,146.0
동대문구,2016,눈,2.0,8.0
동대문구,2016,맑음,1776.0,2252.0
동대문구,2016,비,137.0,183.0
동대문구,2016,흐림,131.0,193.0
동대문구,2017,눈,6.0,7.0
동대문구,2017,맑음,1479.0,1864.0
동대문구,2017,비,81.0,108.0
동대문구,2017,흐림,147.0,180.0
동대문구,2018,눈,5.0,6.0
동대문구,2018,맑음,1494.0,1909.0
동대문구,2018,비,86.0,109.0
동대문구,2018,흐림,93.0,124.0
동대문구,2019,눈,1.0,1.0
동대문구,2019,맑음,1377.0,1769.0
동대문구,2019,비,83.0,104.0
동대문구,2019,흐림,97.0,120.0
동대문구,2020,눈,2.0,2.0
동대문구,2020,맑음,1230.0,1583.0
동대문구,2020,비,88.0,113.0
동대문구,2020,흐림,97.0,117.0
동대문구,2021,눈,8.0,10.0
동대문구,2021,맑음,1162.0,1389.0
동대문구,2021,비,75.0,96.0
동대문구,2021,흐림,105.0,123.0
동대문구,2022,눈,9.0,9.0
동대문구,2022,맑음,1344.0,1620.0
동대문구,2022,비,84.0,108.0
동대문구,2022,흐림,70.0,89.0
동대문구,2023,눈,4.0,4.0
동대문구,2023,맑음,1452.0,1762.0
동대문구,2023,비,115.0,153.0
동대문구,2023,흐림,64.0,84.0
동작구,2013,눈,13.0,18.0
동작구,2013,맑음,1057.0,1579.0
동작구,2013,비,106.0,168.0
동작구,2013,흐림,55.0,92.0
동작구,2014,눈,13.0,20.0
동작구,2014,맑음,1204.0,1631.0
동작구,2014,비,94.0,147.0
동작구,2014,흐림,85.0,112.0
동작구,2015,눈,9.0,17.0
동작구,2015,맑음,1225.0,1781.0
동작구,2015,비,98.0,129.0
동작구,2015,흐림,52.0,72.0
동작구,2016,눈,8.0,13.0
동작구,2016,맑음,1343.0,1865.0
동작구,2016,비,78.0,107.0
동작구,2016,흐림,39.0,58.0
동작구,2017,눈,11.0,19.0
동작구,2017,맑음,1272.0,1864.0
동작구,2017,비,63.0,84.0
동작구,2017,흐림,61.0,94.0
동작구,2018,눈,11.0,13.0
동작구,2018,맑음,1251.0,1695.0
동작구,2018,비,105.0,137.0
동작구,2018,흐림,43.0,52.0
동작구,2019,눈,3.0,3.0
동작구,2019,맑음,1282.0,1832.0
동작구,2019,비,85.0,130.0
동작구,2019,흐림,35.0,59.0
동작구,2020,눈,3.0,4.0
동작구,2020,맑음,1152.0,1618.0
동작구,2020,비,112.0,153.0
동작구,2020,흐림,36.0,50.0
동작구,2021,눈,10.0,12.0
동작구,2021,맑음,988.0,1323.0
동작구,2021,비,80.0,100.0
동작구,2021,흐림,54.0,77.0
동작구,2022,눈,5.0,5.0
동작구,2022,맑음,1053.0,1433.0
동작구,2022,비,71.0,106.0
동작구,2022,흐림,41.0,51.0
동작구,2023,눈,3.0,9.0
동작구,2023,맑음,998.0,1331.0
동작구,2023,비,83.0,121.0
동작구,2023,흐림,118.0,163.0
마포구,2013,눈,19.0,33.0
마포구,2013,맑음,1534.0,2428.0
마포구,2013,비,109.0,174.0
마포구,2013,흐림,84.0,119.0
마포구,2014,눈,10.0,17.0
마포구,2014,맑음,1594.0,2405.0
마포구,2014,비,106.0,148.0
마포구,2014,흐림,48.0,82.0
마포구,2015,눈,2.0,2.0
마포구,2015,맑음,1613.0,2452.0
마포구,2015,비,148.0,244.0
마포구,2015,흐림,37.0,47.0
마포구,2016,눈,8.0,17.0
