구,연월,지하철_승객_수
구로구,2023-06,5000809.0
구로구,2023-07,4930260.0
구로구,2023-08,4805269.0
구로구,2023-09,4757085.0
구로구,2023-10,5142830.0
구로구,2023-11,5402445.0
구로구,2023-12,5300999.0
구로구,2024-01,5251003.0
구로구,2024-02,4775881.0
구로구,2024-03,5480346.0
구로구,2024-04,5487391.0
구로구,2024-05,5517474.0
구로구,2024-06,5193250.0
구로구,2024-07,5386298.0
구로구,2024-08,4936094.0
구로구,2024-09,4890420.0
구로구,2024-10,5433858.0
구로구,2024-11,5499415.0
구로구,2024-12,5515522.0
구로구,2025-01,4529993.0
구로구,2025-02,4926228.0
구로구,2025-03,5614852.0
구로구,2025-04,1081936.0
금천구,2021-11,72174.0
금천구,2021-12,122955.0
금천구,2022-01,1646684.0
금천구,2022-02,1383353.0
금천구,2022-03,1510408.0
금천구,2022-04,1699493.0
금천구,2022-05,1807190.0
금천구,2022-06,1733746.0
금천구,2022-07,1811276.0
금천구,2022-08,1813614.0
금천구,2022-09,1580876.0
금천구,2022-10,1816309.0
금천구,2022-11,1848465.0
금천구,2022-12,1708338.0
금천구,2023-01,1688417.0
금천구,2023-02,1716842.0
금천구,2023-03,1909188.0
금천구,2023-04,1781638.0
금천구,2023-05,1824971.0
금천구,2023-06,1796426.0
금천구,2023-07,1790362.0
금천구,2023-08,1765019.0
금천구,2023-09,1695329.0
금천구,2023-10,1760824.0
금천구,2023-11,1884950.0
금천구,2023-12,1758961.0
금천구,2024-01,1877252.0
금천구,2024-02,1671730.0
금천구,2024-03,1834719.0
금천구,2024-04,1860412.0
금천구,2024-05,1832550.0
금천구,2024-06,1710374.0
금천구,2024-07,1853037.0
금천구,2024-08,1660569.0
금천구,2024-09,1613982.0
금천구,2024-10,1810326.0
금천구,2024-11,1850327.0
금천구,2024-12,1807219.0
금천구,2025-01,1509628.0
금천구,2025-02,1715172.0
금천구,2025-03,1840355.0
금천구,2025-04,363325.0
노원구,2021-11,168737.0
노원구,2021-12,328896.0
노원구,2022-01,4410889.0
노원구,2022-02,3791352.0
노원구,2022-03,4291702.0
노원구,2022-04,4765303.0
노원구,2022-05,5278105.0
노원구,2022-06,4824330.0
노원구,2022-07,4906460.0
노원구,2022-08,4812500.0
노원구,2022-09,4581821.0
노원구,2022-10,5227802.0
노원구,2022-11,5138258.0
노원구,2022-12,5031707.0
노원구,2023-01,4563603.0
노원구,2023-02,4647182.0
노원구,2023-03,5503829.0
노원구,2023-04,5198187.0
노원구,2023-05,5501774.0
노원구,2023-06,5131838.0
노원구,2023-07,4982578.0
