구,연도,용도,발생건수,사상자수
영등포구,2017,승용계,1555,2364
영등포구,2017,화물,52,77
영등포구,2018,버스계,108,157
영등포구,2018,승용계,1590,2392
영등포구,2018,화물,62,95
영등포구,2019,버스계,131,204
영등포구,2019,승용계,1489,2192
영등포구,2019,화물,62,79
영등포구,2020,버스계,72,91
영등포구,2020,승용계,1326,1957
영등포구,2020,화물,58,77
영등포구,2021,버스계,67,101
영등포구,2021,승용계,1366,1934
영등포구,2021,화물,62,82
영등포구,2022,버스계,121,147
영등포구,2022,승용계,1249,1771
영등포구,2022,화물,42,67
영등포구,2023,버스계,128,220
영등포구,2023,승용계,1215,1717
영등포구,2023,화물,59,71
용산구,2017,버스계,63,111
용산구,2017,승용계,974,1469
용산구,2017,화물,33,45
용산구,2018,버스계,44,60
용산구,2018,승용계,1009,1457
용산구,2018,화물,20,23
용산구,2019,버스계,39,44
용산구,2019,승용계,866,1234
용산구,2019,화물,32,42
용산구,2020,버스계,35,39
용산구,2020,승용계,629,873
용산구,2020,화물,22,22
용산구,2021,버스계,45,49
용산구,2021,승용계,673,965
용산구,2021,화물,25,33
용산구,2022,버스계,52,67
용산구,2022,승용계,722,980
용산구,2022,화물,24,33
용산구,2023,버스계,44,51
용산구,2023,승용계,709,1024
용산구,2023,화물,27,35
은평구,2017,버스계,73,114
은평구,2017,승용계,667,999
은평구,2017,화물,18,24
은평구,2018,버스계,67,89
은평구,2018,승용계,700,1024
은평구,2018,화물,14,21
은평구,2019,버스계,89,96
은평구,2019,승용계,651,902
은평구,2019,화물,27,34
은평구,2020,버스계,45,60
은평구,2020,승용계,596,893
은평구,2020,화물,15,18
은평구,2021,버스계,47,111
은평구,2021,승용계,492,692
은평구,2021,화물,15,18
은평구,2022,버스계,44,55
은평구,2022,승용계,583,841
은평구,2022,화물,16,26
은평구,2023,버스계,93,123
은평구,2023,승용계,674,900
은평구,2023,화물,15,17
종로구,2017,버스계,76,118
종로구,2017,승용계,780,1190
종로구,2017,화물,23,24
종로구,2018,버스계,74,99
종로구,2018,승용계,774,1096
종로구,2018,화물,21,26
종로구,2019,버스계,85,121
종로구,2019,승용계,745,1048
종로구,2019,화물,16,20
종로구,2020,버스계,64,83
종로구,2020,승용계,565,803
종로구,2020,화물,27,31
종로구,2021,버스계,49,56
종로구,2021,승용계,486,712
종로구,2021,화물,14,16
종로구,2022,버스계,77,115
종로구,2022,승용계,613,886
종로구,2022,화물,15,26
종로구,2023,버스계,97,139
종로구,2023,승용계,624,849
종로구,2023,화물,32,50
중구,2017,버스계,64,92
중구,2017,승용계,852,1197
중구,2017,화물,29,33
중구,2018,버스계,76,93
중구,2018,승용계,787,1104
중구,2018,화물,17,17
중구,2019,버스계,81,104
중구,2019,승용계,784,1151
중구,2019,화물,23,27
중구,2020,버스계,65,80
중구,2020,승용계,572,781
중구,2020,화물,42,48
중구,2021,버스계,51,60
중구,2021,승용계,534,754
중구,2021,화물,29,37
중구,2022,버스계,69,86
중구,2022,승용계,590,790
중구,2022,화물,35,37
중구,2023,버스계,90,113
중구,2023,승용계,594,787
중구,2023,화물,30,38
중랑구,2017,버스계,68,95
중랑구,2017,승용계,972,1380
중랑구,2017,화물,38,53
중랑구,2018,버스계,71,87
중랑구,2018,승용계,975,1419
중랑구,2018,화물,32,43
중랑구,2019,버스계,68,78
중랑구,2019,승용계,941,1305
중랑구,2019,화물,42,58
중랑구,2020,버스계,52,58
중랑구,2020,승용계,814,1172
중랑구,2020,화물,28,36
중랑구,2021,버스계,52,58
중랑구,2021,승용계,759,1081
중랑구,2021,화물,37,55
중랑구,2022,버스계,74,106
중랑구,2022,승용계,810,1137
중랑구,2022,화물,38,52
중랑구,2023,버스계,79,101
중랑구,2023,승용계,754,1048
중랑구,2023,화물,40,48
