district,year,metric,value
구로구,2005,인구 10만명당 부상자수 (명),514.1
구로구,2005,인구 10만명당 사망자수 (명),5.6
구로구,2005,자동차 1만대당 발생건수 (건),103.9
구로구,2006,인구 10만명당 부상자수 (명),495.2
구로구,2006,인구 10만명당 사망자수 (명),5.0
구로구,2006,자동차 1만대당 발생건수 (건),99.3
구로구,2007,인구 10만명당 부상자수 (명),521.7
구로구,2007,인구 10만명당 사망자수 (명),2.9
구로구,2007,자동차 1만대당 발생건수 (건),101.0
구로구,2008,인구 10만명당 부상자수 (명),523.3
구로구,2008,인구 10만명당 사망자수 (명),4.9
구로구,2008,자동차 1만대당 발생건수 (건),105.8
구로구,2009,인구 10만명당 부상자수 (명),525.8
구로구,2009,인구 10만명당 사망자수 (명),3.3
구로구,2009,자동차 1만대당 발생건수 (건),106.4
구로구,2010,인구 10만명당 부상자수 (명),501.5
구로구,2010,인구 10만명당 사망자수 (명),3.1
구로구,2010,자동차 1만대당 발생건수 (건),103.5
구로구,2011,인구 10만명당 부상자수 (명),485.1
구로구,2011,인구 10만명당 사망자수 (명),3.3
구로구,2011,자동차 1만대당 발생건수 (건),105.0
구로구,2012,인구 10만명당 부상자수 (명),520.6
구로구,2012,인구 10만명당 사망자수 (명),4.6
구로구,2012,자동차 1만대당 발생건수 (건),108.6
구로구,2013,인구 10만명당 부상자수 (명),478.8
구로구,2013,인구 10만명당 사망자수 (명),4.2
구로구,2013,자동차 1만대당 발생건수 (건),94.6
구로구,2014,인구 10만명당 부상자수 (명),482.4
구로구,2014,인구 10만명당 사망자수 (명),4.2
구로구,2014,자동차 1만대당 발생건수 (건),102.2
구로구,2015,인구 10만명당 부상자수 (명),467.9
구로구,2015,인구 10만명당 사망자수 (명),4.2
구로구,2015,자동차 1만대당 발생건수 (건),97.4
구로구,2016,인구 10만명당 부상자수 (명),475.8
구로구,2016,인구 10만명당 사망자수 (명),2.0
구로구,2016,자동차 1만대당 발생건수 (건),96.3
구로구,2017,인구 10만명당 부상자수 (명),443.9
구로구,2017,인구 10만명당 사망자수 (명),2.7
구로구,2017,자동차 1만대당 발생건수 (건),89.4
구로구,2018,인구 10만명당 부상자수 (명),485.5
구로구,2018,인구 10만명당 사망자수 (명),3.0
구로구,2018,자동차 1만대당 발생건수 (건),95.6
구로구,2019,인구 10만명당 부상자수 (명),477.0
구로구,2019,인구 10만명당 사망자수 (명),3.0
구로구,2019,자동차 1만대당 발생건수 (건),95.5
구로구,2020,인구 10만명당 부상자수 (명),418.5
구로구,2020,인구 10만명당 사망자수 (명),2.3
구로구,2020,자동차 1만대당 발생건수 (건),82.2
구로구,2021,인구 10만명당 부상자수 (명),410.5
구로구,2021,인구 10만명당 사망자수 (명),2.1
구로구,2021,자동차 1만대당 발생건수 (건),84.0
구로구,2022,인구 10만명당 부상자수 (명),404.1
구로구,2022,인구 10만명당 사망자수 (명),2.9
구로구,2022,자동차 1만대당 발생건수 (건),77.9
구로구,2023,인구 10만명당 부상자수 (명),442.7
구로구,2023,인구 10만명당 사망자수 (명),1.2
구로구,2023,자동차 1만대당 발생건수 (건),83.5
금천구,2005,인구 10만명당 부상자수 (명),491.8
금천구,2005,인구 10만명당 사망자수 (명),5.7
금천구,2005,자동차 1만대당 발생건수 (건),99.7
금천구,2006,인구 10만명당 부상자수 (명),520.9
금천구,2006,인구 10만명당 사망자수 (명),3.8
금천구,2006,자동차 1만대당 발생건수 (건),107.2
금천구,2007,인구 10만명당 부상자수 (명),493.3
금천구,2007,인구 10만명당 사망자수 (명),5.3
금천구,2007,자동차 1만대당 발생건수 (건),106.6
금천구,2008,인구 10만명당 부상자수 (명),529.7
금천구,2008,인구 10만명당 사망자수 (명),5.3
금천구,2008,자동차 1만대당 발생건수 (건),118.2
금천구,2009,인구 10만명당 부상자수 (명),626.7
금천구,2009,인구 10만명당 사망자수 (명),8.0
금천구,2009,자동차 1만대당 발생건수 (건),132.1
금천구,2010,인구 10만명당 부상자수 (명),643.4
금천구,2010,인구 10만명당 사망자수 (명),4.5
금천구,2010,자동차 1만대당 발생건수 (건),135.5
금천구,2011,인구 10만명당 부상자수 (명),624.0
금천구,2011,인구 10만명당 사망자수 (명),3.8
금천구,2011,자동차 1만대당 발생건수 (건),133.5
금천구,2012,인구 10만명당 부상자수 (명),590.6
금천구,2012,인구 10만명당 사망자수 (명),8.1
금천구,2012,자동차 1만대당 발생건수 (건),116.8
금천구,2013,인구 10만명당 부상자수 (명),549.5
금천구,2013,인구 10만명당 사망자수 (명),3.9
금천구,2013,자동차 1만대당 발생건수 (건),103.7
금천구,2014,인구 10만명당 부상자수 (명),594.9
금천구,2014,인구 10만명당 사망자수 (명),5.0
금천구,2014,자동차 1만대당 발생건수 (건),111.0
금천구,2015,인구 10만명당 부상자수 (명),536.4
금천구,2015,인구 10만명당 사망자수 (명),3.9
금천구,2015,자동차 1만대당 발생건수 (건),96.8
금천구,2016,인구 10만명당 부상자수 (명),444.9
금천구,2016,인구 10만명당 사망자수 (명),5.9
금천구,2016,자동차 1만대당 발생건수 (건),82.8
금천구,2017,인구 10만명당 부상자수 (명),484.4
금천구,2017,인구 10만명당 사망자수 (명),2.4
금천구,2017,자동차 1만대당 발생건수 (건),84.0
금천구,2018,인구 10만명당 부상자수 (명),522.0
금천구,2018,인구 10만명당 사망자수 (명),2.4
금천구,2018,자동차 1만대당 발생건수 (건),94.5
금천구,2019,인구 10만명당 부상자수 (명),537.3
금천구,2019,인구 10만명당 사망자수 (명),3.6
금천구,2019,자동차 1만대당 발생건수 (건),92.8
금천구,2020,인구 10만명당 부상자수 (명),437.4
금천구,2020,인구 10만명당 사망자수 (명),2.4
금천구,2020,자동차 1만대당 발생건수 (건),80.8
금천구,2021,인구 10만명당 부상자수 (명),476.5
금천구,2021,인구 10만명당 사망자수 (명),6.5
금천구,2021,자동차 1만대당 발생건수 (건),81.5
금천구,2022,인구 10만명당 부상자수 (명),474.4
금천구,2022,인구 10만명당 사망자수 (명),3.7
금천구,2022,자동차 1만대당 발생건수 (건),81.2
금천구,2023,인구 10만명당 부상자수 (명),511.0
금천구,2023,인구 10만명당 사망자수 (명),2.9
금천구,2023,자동차 1만대당 발생건수 (건),82.6
노원구,2005,인구 10만명당 부상자수 (명),422.2
노원구,2005,인구 10만명당 사망자수 (명),3.2
노원구,2005,자동차 1만대당 발생건수 (건),105.3
노원구,2006,인구 10만명당 부상자수 (명),393.6
노원구,2006,인구 10만명당 사망자수 (명),2.6
노원구,2006,자동차 1만대당 발생건수 (건),96.3
노원구,2007,인구 10만명당 부상자수 (명),383.1
노원구,2007,인구 10만명당 사망자수 (명),4.2
노원구,2007,자동차 1만대당 발생건수 (건),102.6
노원구,2008,인구 10만명당 부상자수 (명),398.8
노원구,2008,인구 10만명당 사망자수 (명),3.5
노원구,2008,자동차 1만대당 발생건수 (건),104.0
노원구,2009,인구 10만명당 부상자수 (명),423.0
노원구,2009,인구 10만명당 사망자수 (명),3.4
노원구,2009,자동차 1만대당 발생건수 (건),108.4
노원구,2010,인구 10만명당 부상자수 (명),395.5
노원구,2010,인구 10만명당 사망자수 (명),4.1
노원구,2010,자동차 1만대당 발생건수 (건),99.2
노원구,2011,인구 10만명당 부상자수 (명),366.9
노원구,2011,인구 10만명당 사망자수 (명),2.3
노원구,2011,자동차 1만대당 발생건수 (건),90.5
노원구,2012,인구 10만명당 부상자수 (명),387.8
노원구,2012,인구 10만명당 사망자수 (명),2.2
노원구,2012,자동차 1만대당 발생건수 (건),96.0
노원구,2013,인구 10만명당 부상자수 (명),366.1
노원구,2013,인구 10만명당 사망자수 (명),2.2
노원구,2013,자동차 1만대당 발생건수 (건),90.5
노원구,2014,인구 10만명당 부상자수 (명),347.7
노원구,2014,인구 10만명당 사망자수 (명),2.9
노원구,2014,자동차 1만대당 발생건수 (건),90.1
노원구,2015,인구 10만명당 부상자수 (명),362.8
노원구,2015,인구 10만명당 사망자수 (명),2.6
노원구,2015,자동차 1만대당 발생건수 (건),85.9
노원구,2016,인구 10만명당 부상자수 (명),388.0
노원구,2016,인구 10만명당 사망자수 (명),2.3
노원구,2016,자동차 1만대당 발생건수 (건),89.8
노원구,2017,인구 10만명당 부상자수 (명),368.2
노원구,2017,인구 10만명당 사망자수 (명),2.0
노원구,2017,자동차 1만대당 발생건수 (건),88.3
노원구,2018,인구 10만명당 부상자수 (명),406.3
노원구,2018,인구 10만명당 사망자수 (명),2.6
노원구,2018,자동차 1만대당 발생건수 (건),93.1
노원구,2019,인구 10만명당 부상자수 (명),428.4
노원구,2019,인구 10만명당 사망자수 (명),1.5
노원구,2019,자동차 1만대당 발생건수 (건),102.0
노원구,2020,인구 10만명당 부상자수 (명),382.5
노원구,2020,인구 10만명당 사망자수 (명),0.9
노원구,2020,자동차 1만대당 발생건수 (건),87.1
노원구,2021,인구 10만명당 부상자수 (명),376.7
노원구,2021,인구 10만명당 사망자수 (명),1.6
노원구,2021,자동차 1만대당 발생건수 (건),84.4
노원구,2022,인구 10만명당 부상자수 (명),376.6
노원구,2022,인구 10만명당 사망자수 (명),1.2
노원구,2022,자동차 1만대당 발생건수 (건),82.5
