자치구,연도,사고유형,발생건수,부상자수,사망자수
구로구,2019,차량단독,47,52,1
구로구,2019,합계,1529,2096,13
구로구,2020,차대사람,296,313,2
구로구,2020,차대차,973,1438,5
구로구,2020,차량단독,56,59,3
구로구,2020,합계,1325,1810,10
구로구,2021,차대사람,274,287,2
구로구,2021,차대차,1042,1404,4
구로구,2021,차량단독,34,38,3
구로구,2021,합계,1350,1729,9
구로구,2022,차대사람,291,303,3
구로구,2022,차대차,935,1338,5
구로구,2022,차량단독,48,50,4
구로구,2022,합계,1274,1691,12
구로구,2023,차대사람,338,349,1
구로구,2023,차대차,988,1456,3
구로구,2023,차량단독,33,35,1
구로구,2023,합계,1359,1840,5
금천구,2005,차대사람,195,198,5
금천구,2005,차대차,586,1073,8
금천구,2005,차량단독,21,27,2
금천구,2005,합계,802,1298,15
금천구,2006,차대사람,250,258,4
금천구,2006,차대차,609,1099,6
금천구,2006,차량단독,12,18,-
금천구,2006,합계,871,1375,10
금천구,2007,차대사람,222,237,6
금천구,2007,차대차,623,1045,6
금천구,2007,차량단독,19,22,2
금천구,2007,합계,864,1304,14
금천구,2008,차대사람,264,277,10
금천구,2008,차대차,673,1099,4
금천구,2008,차량단독,24,29,-
금천구,2008,합계,961,1405,14
금천구,2009,차대사람,286,299,15
금천구,2009,차대차,758,1309,6
금천구,2009,차량단독,37,41,-
금천구,2009,합계,1081,1649,21
금천구,2010,차대사람,327,346,6
금천구,2010,차대차,761,1316,6
금천구,2010,차량단독,35,40,-
금천구,2010,합계,1123,1702,12
금천구,2011,차대사람,339,355,7
금천구,2011,차대차,744,1244,2
금천구,2011,차량단독,42,50,1
금천구,2011,합계,1125,1649,10
금천구,2012,차대사람,272,281,12
금천구,2012,차대차,703,1213,6
금천구,2012,차량단독,42,46,3
금천구,2012,합계,1017,1540,21
금천구,2013,차대사람,253,260,8
금천구,2013,차대차,660,1130,1
금천구,2013,차량단독,26,29,1
금천구,2013,합계,939,1419,10
금천구,2014,차대사람,291,305,6
금천구,2014,차대차,700,1188,7
금천구,2014,차량단독,38,42,-
금천구,2014,합계,1029,1535,13
금천구,2015,차대사람,266,292,8
금천구,2015,차대차,611,1041,1
금천구,2015,차량단독,37,41,1
금천구,2015,합계,914,1374,10
금천구,2016,차대사람,251,260,9
금천구,2016,차대차,525,846,6
금천구,2016,차량단독,23,27,-
금천구,2016,합계,799,1133,15
금천구,2017,차대사람,250,266,4
금천구,2017,차대차,550,938,1
금천구,2017,차량단독,24,24,1
금천구,2017,합계,824,1228,6
금천구,2018,차대사람,266,286,5
금천구,2018,차대차,629,999,-
금천구,2018,차량단독,37,41,1
