연도,자치구,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수
2013,중구,196.0,3.0,20.0,0.0,10.0,1.0,26.0,0.0,154.0,4.0
2013,중랑구,236.0,2.0,44.0,0.0,24.0,0.0,25.0,0.0,176.0,3.0
2014,강남구,487.0,4.0,76.0,0.0,61.0,0.0,43.0,1.0,255.0,9.0
2014,강동구,267.0,5.0,22.0,1.0,16.0,0.0,14.0,0.0,144.0,1.0
2014,강북구,263.0,2.0,14.0,0.0,9.0,0.0,20.0,0.0,136.0,6.0
2014,강서구,311.0,7.0,21.0,0.0,18.0,1.0,23.0,1.0,142.0,5.0
2014,관악구,304.0,9.0,49.0,1.0,26.0,0.0,13.0,1.0,150.0,0.0
2014,광진구,228.0,2.0,7.0,0.0,24.0,1.0,14.0,0.0,137.0,4.0
2014,구로구,189.0,5.0,33.0,1.0,22.0,0.0,14.0,0.0,210.0,6.0
2014,금천구,155.0,3.0,17.0,0.0,11.0,0.0,6.0,0.0,121.0,3.0
2014,노원구,198.0,6.0,8.0,0.0,21.0,0.0,30.0,1.0,184.0,3.0
2014,도봉구,127.0,5.0,16.0,0.0,17.0,0.0,15.0,0.0,131.0,6.0
2014,동대문구,320.0,5.0,11.0,1.0,12.0,0.0,13.0,1.0,154.0,9.0
2014,동작구,241.0,4.0,22.0,0.0,15.0,0.0,18.0,0.0,128.0,4.0
2014,마포구,271.0,4.0,16.0,0.0,31.0,0.0,36.0,0.0,117.0,8.0
2014,서대문구,151.0,1.0,16.0,0.0,18.0,0.0,32.0,3.0,151.0,5.0
2014,서초구,301.0,2.0,20.0,0.0,46.0,0.0,22.0,0.0,178.0,3.0
2014,성동구,189.0,3.0,4.0,0.0,20.0,0.0,7.0,0.0,103.0,1.0
2014,성북구,143.0,4.0,31.0,0.0,29.0,1.0,46.0,1.0,242.0,3.0
2014,송파구,321.0,3.0,51.0,0.0,45.0,0.0,59.0,2.0,155.0,3.0
2014,양천구,223.0,0.0,6.0,0.0,30.0,0.0,12.0,1.0,139.0,6.0
2014,영등포구,211.0,12.0,18.0,0.0,30.0,0.0,36.0,1.0,238.0,8.0
2014,용산구,146.0,1.0,27.0,0.0,9.0,0.0,21.0,0.0,95.0,2.0
2014,은평구,178.0,2.0,55.0,0.0,25.0,0.0,33.0,2.0,166.0,2.0
2014,종로구,139.0,1.0,28.0,0.0,23.0,1.0,33.0,0.0,168.0,5.0
2014,중구,206.0,1.0,14.0,0.0,18.0,0.0,30.0,0.0,106.0,0.0
2014,중랑구,247.0,2.0,39.0,0.0,14.0,0.0,20.0,0.0,160.0,3.0
2015,강남구,447.0,2.0,92.0,0.0,55.0,1.0,45.0,0.0,309.0,7.0
2015,강동구,252.0,7.0,24.0,0.0,23.0,0.0,34.0,1.0,157.0,6.0
2015,강북구,197.0,4.0,15.0,1.0,21.0,0.0,24.0,1.0,183.0,5.0
2015,강서구,253.0,2.0,28.0,0.0,19.0,1.0,95.0,1.0,152.0,3.0
2015,관악구,243.0,1.0,60.0,1.0,24.0,0.0,12.0,0.0,199.0,7.0
2015,광진구,158.0,3.0,18.0,0.0,19.0,0.0,38.0,0.0,107.0,4.0
2015,구로구,161.0,5.0,27.0,0.0,22.0,0.0,37.0,2.0,204.0,7.0
2015,금천구,146.0,2.0,9.0,0.0,7.0,0.0,3.0,0.0,113.0,6.0
2015,노원구,111.0,0.0,27.0,1.0,27.0,0.0,43.0,0.0,199.0,4.0
2015,도봉구,59.0,1.0,33.0,0.0,21.0,0.0,20.0,1.0,139.0,4.0
2015,동대문구,310.0,3.0,22.0,0.0,19.0,0.0,26.0,0.0,217.0,5.0
2015,동작구,91.0,0.0,73.0,0.0,28.0,0.0,51.0,1.0,172.0,0.0
2015,마포구,212.0,4.0,37.0,0.0,25.0,0.0,54.0,1.0,168.0,3.0
2015,서대문구,207.0,1.0,18.0,1.0,16.0,1.0,28.0,1.0,104.0,3.0
2015,서초구,157.0,3.0,59.0,0.0,53.0,2.0,27.0,2.0,205.0,4.0
2015,성동구,155.0,0.0,15.0,0.0,17.0,0.0,10.0,0.0,134.0,3.0
2015,성북구,109.0,1.0,58.0,1.0,22.0,0.0,45.0,2.0,279.0,5.0
2015,송파구,192.0,1.0,81.0,0.0,47.0,0.0,79.0,1.0,224.0,7.0
2015,양천구,209.0,1.0,31.0,0.0,28.0,0.0,25.0,0.0,190.0,4.0
2015,영등포구,176.0,6.0,52.0,0.0,26.0,1.0,61.0,1.0,254.0,12.0
2015,용산구,158.0,5.0,35.0,0.0,14.0,0.0,29.0,0.0,118.0,4.0
2015,은평구,97.0,0.0,38.0,1.0,30.0,0.0,54.0,1.0,180.0,10.0
2015,종로구,112.0,2.0,55.0,1.0,31.0,1.0,56.0,2.0,152.0,1.0
2015,중구,117.0,3.0,36.0,0.0,25.0,0.0,56.0,1.0,156.0,4.0
2015,중랑구,158.0,0.0,72.0,1.0,26.0,0.0,39.0,0.0,224.0,4.0
2016,강남구,455.0,0.0,98.0,0.0,73.0,0.0,87.0,0.0,218.0,3.0
2016,강동구,157.0,4.0,17.0,0.0,12.0,0.0,16.0,1.0,238.0,7.0
2016,강북구,175.0,2.0,28.0,0.0,15.0,0.0,15.0,0.0,188.0,6.0
2016,강서구,136.0,1.0,13.0,0.0,11.0,0.0,38.0,1.0,287.0,4.0
2016,관악구,159.0,6.0,36.0,3.0,29.0,1.0,44.0,2.0,169.0,1.0
2016,광진구,137.0,0.0,11.0,0.0,15.0,0.0,31.0,0.0,115.0,4.0
2016,구로구,164.0,2.0,22.0,0.0,24.0,0.0,64.0,0.0,176.0,3.0
2016,금천구,82.0,3.0,14.0,0.0,9.0,0.0,17.0,0.0,134.0,6.0
