연도,자치구,가해_발생건수,피해_발생건수,가해_사망자수,피해_사망자수,가해_부상자수,피해_부상자수
2020,강남구,99,77,0,0,117,91
2020,송파구,198,220,0,2,233,242
2020,강동구,79,103,3,0,84,108
2021,소계,1779,1554,13,14,1969,1684
2021,종로구,19,27,0,0,20,27
2021,중구,17,19,0,0,19,19
2021,용산구,48,51,0,1,57,57
2021,성동구,87,82,0,0,98,90
2021,광진구,71,50,0,0,79,54
2021,동대문구,94,95,2,2,95,98
2021,중랑구,98,79,0,0,112,86
2021,성북구,46,41,1,1,47,45
2021,강북구,56,35,0,0,59,36
2021,도봉구,43,48,2,0,48,53
2021,노원구,120,83,0,0,135,93
2021,은평구,56,44,2,1,59,50
2021,서대문구,36,24,0,0,36,24
2021,마포구,52,55,1,0,65,65
2021,양천구,58,69,2,1,60,71
2021,강서구,99,88,1,1,104,94
2021,구로구,68,60,0,1,73,61
2021,금천구,30,20,1,0,32,21
2021,영등포구,196,142,1,0,221,162
2021,동작구,52,37,0,1,58,43
2021,관악구,31,31,0,0,34,36
2021,서초구,51,50,0,0,57,55
2021,강남구,95,66,0,0,113,75
2021,송파구,200,189,0,5,229,196
2021,강동구,56,69,0,0,59,73
2022,소계,1674,1454,8,6,1861,1550
2022,종로구,30,16,0,1,35,15
2022,중구,24,20,0,0,25,23
2022,용산구,30,37,0,0,33,39
2022,성동구,85,59,1,0,91,62
2022,광진구,41,28,0,0,45,28
2022,동대문구,114,83,0,1,121,85
2022,중랑구,88,85,0,1,101,89
2022,성북구,39,39,0,0,39,39
2022,강북구,41,45,0,0,42,45
2022,도봉구,41,21,0,0,43,22
2022,노원구,85,71,0,0,89,73
2022,은평구,50,54,0,0,56,55
2022,서대문구,34,35,0,0,36,36
2022,마포구,49,56,0,1,59,60
2022,양천구,47,64,1,0,49,66
2022,강서구,112,110,1,0,128,118
2022,구로구,80,55,1,0,90,62
2022,금천구,30,22,0,0,34,23
2022,영등포구,173,137,1,1,203,161
2022,동작구,54,39,0,0,62,42
2022,관악구,36,21,0,1,39,21
2022,서초구,48,38,1,0,54,41
2022,강남구,88,71,1,0,98,80
2022,송파구,202,162,1,0,230,178
2022,강동구,53,86,0,0,59,87
2023,소계,1531,1319,6,9,1698,1434
2023,종로구,21,18,0,0,23,19
2023,중구,24,19,0,0,25,20
2023,용산구,32,30,1,0,34,32
2023,성동구,49,45,0,1,58,48
