동별,구분별,연월,거주인구,유동인구
성북구,계,2019-08-01,454114,0
성북구,계,2019-09-01,454114,0
성북구,계,2019-10-01,454744,0
성북구,계,2019-11-01,454744,0
성북구,계,2019-12-01,454744,0
성북구,계,2020-01-01,454532,0
성북구,계,2020-02-01,454532,0
성북구,계,2020-03-01,454532,0
성북구,계,2020-04-01,452290,0
성북구,계,2020-05-01,452290,0
성북구,계,2020-06-01,452290,0
성북구,계,2020-07-01,449871,0
성북구,계,2020-08-01,449871,0
성북구,계,2020-09-01,449871,0
성북구,계,2020-10-01,447056,0
성북구,계,2020-11-01,447056,0
성북구,계,2020-12-01,447056,0
성북구,계,2021-01-01,444295,0
성북구,계,2021-02-01,444295,0
성북구,계,2021-03-01,444295,0
성북구,계,2021-04-01,443206,0
성북구,계,2021-05-01,443206,0
성북구,계,2021-06-01,443206,0
성북구,계,2021-07-01,441717,0
성북구,계,2021-08-01,441717,0
성북구,계,2021-09-01,441717,0
성북구,계,2021-10-01,440142,0
성북구,계,2021-11-01,440142,122968
성북구,계,2021-12-01,440142,234241
성북구,계,2022-01-01,442680,3163455
성북구,계,2022-02-01,442680,2716442
성북구,계,2022-03-01,442680,3214841
성북구,계,2022-04-01,443823,3596637
성북구,계,2022-05-01,443823,4012723
성북구,계,2022-06-01,443823,3634173
성북구,계,2022-07-01,442596,3606806
성북구,계,2022-08-01,442596,3568806
성북구,계,2022-09-01,442596,3612008
성북구,계,2022-10-01,441984,4087581
성북구,계,2022-11-01,441984,4037943
성북구,계,2022-12-01,441984,3836094
성북구,계,2023-01-01,441855,3376848
성북구,계,2023-02-01,441855,3434057
성북구,계,2023-03-01,441855,4352673
성북구,계,2023-04-01,441065,4047668
성북구,계,2023-05-01,441065,4252698
성북구,계,2023-06-01,441065,3918143
성북구,계,2023-07-01,440089,3686767
성북구,계,2023-08-01,440089,3594162
성북구,계,2023-09-01,440089,3924614
성북구,계,2023-10-01,438168,4038042
성북구,계,2023-11-01,438168,4168997
성북구,계,2023-12-01,438168,4014898
성북구,계,2024-01-01,436901,3704473
성북구,계,2024-02-01,436901,3415748
성북구,계,2024-03-01,436901,4324208
성북구,계,2024-04-01,436666,4245224
성북구,계,2024-05-01,436666,4374326
성북구,계,2024-06-01,436666,3893775
성북구,계,2024-07-01,435492,3815359
성북구,계,2024-08-01,435492,3488615
성북구,계,2024-09-01,435492,3833060
성북구,계,2024-10-01,435037,4203029
성북구,계,2024-11-01,435037,4219173
성북구,계,2024-12-01,435037,4092932
성북구,계,2025-01-01,433569,3219066
성북구,계,2025-02-01,433569,3500843
성북구,계,2025-03-01,433569,4477306
강북구,계,2008-01-01,347344,0
강북구,계,2008-02-01,347344,0
강북구,계,2008-03-01,347344,0
강북구,계,2008-04-01,346477,0
강북구,계,2008-05-01,346477,0
강북구,계,2008-06-01,346477,0
강북구,계,2008-07-01,346187,0
강북구,계,2008-08-01,346187,0
강북구,계,2008-09-01,346187,0
강북구,계,2008-10-01,345754,0
강북구,계,2008-11-01,345754,0
