연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2016,강서구,599344,140,136.0,1.0,13.0,0.0,11.0,0.0,38.0,1.0,287.0,4.0,14.0,28.0,0.0,203.0,1.0,211.0,0.0
2017,강서구,606681,132,128.0,1.0,29.0,0.0,42.0,0.0,69.0,2.0,146.0,3.0,25.0,40.0,0.0,162.0,3.0,176.0,0.0
2018,강서구,606005,125,154.0,1.0,23.0,0.0,21.0,0.0,47.0,1.0,167.0,3.0,31.0,43.0,1.0,103.0,2.0,105.0,0.0
2019,강서구,600907,152,196.0,4.0,29.0,0.0,39.0,0.0,51.0,3.0,154.0,6.0,56.0,71.0,0.0,161.0,1.0,173.0,0.0
2020,강서구,591085,131,154.0,4.0,10.0,0.0,37.0,0.0,43.0,2.0,159.0,4.0,56.0,71.0,0.0,165.0,2.0,176.0,0.0
2021,강서구,581708,125,149.0,4.0,23.0,0.0,25.0,1.0,30.0,0.0,118.0,3.0,60.0,86.0,0.0,187.0,2.0,198.0,1095324.0
2022,강서구,576835,133,197.0,5.0,22.0,1.0,31.0,0.0,27.0,0.0,121.0,3.0,33.0,54.0,0.0,222.0,1.0,246.0,124677930.0
2023,강서구,571224,126,168.0,2.0,14.0,0.0,21.0,0.0,29.0,0.0,104.0,2.0,43.0,65.0,0.0,156.0,0.0,164.0,131737726.0
2024,강서구,564500,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136557449.0
2025,강서구,560094,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34422676.0
2005,관악구,0,137,214.0,5.0,27.0,0.0,26.0,3.0,27.0,0.0,195.0,9.0,103.0,154.0,3.0,37.0,0.0,38.0,0.0
2006,관악구,0,139,103.0,1.0,114.0,0.0,40.0,0.0,62.0,0.0,172.0,2.0,65.0,107.0,0.0,47.0,1.0,49.0,0.0
2007,관악구,0,153,85.0,3.0,91.0,0.0,71.0,0.0,65.0,0.0,224.0,7.0,76.0,125.0,2.0,51.0,1.0,51.0,0.0
