연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2024,중구,131603,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209651373.0
2025,중구,130418,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55825327.0
2005,중랑구,0,154,236.0,1.0,4.0,0.0,31.0,0.0,40.0,0.0,195.0,1.0,56.0,83.0,1.0,106.0,2.0,107.0,0.0
2006,중랑구,0,152,92.0,0.0,69.0,1.0,69.0,1.0,56.0,1.0,210.0,6.0,68.0,116.0,0.0,162.0,2.0,167.0,0.0
2007,중랑구,0,172,69.0,3.0,80.0,1.0,39.0,1.0,96.0,3.0,229.0,4.0,83.0,124.0,1.0,151.0,2.0,159.0,0.0
2008,중랑구,432734,169,44.0,1.0,89.0,0.0,69.0,1.0,84.0,0.0,257.0,6.0,67.0,95.0,1.0,189.0,1.0,202.0,0.0
2009,중랑구,431430,169,157.0,2.0,91.0,0.0,42.0,0.0,46.0,2.0,220.0,5.0,73.0,117.0,0.0,218.0,2.0,223.0,0.0
2010,중랑구,430378,173,208.0,4.0,69.0,1.0,50.0,0.0,59.0,0.0,200.0,3.0,70.0,113.0,2.0,208.0,5.0,210.0,0.0
2011,중랑구,430373,148,230.0,1.0,37.0,1.0,32.0,1.0,40.0,1.0,164.0,4.0,50.0,71.0,1.0,166.0,3.0,175.0,0.0
2012,중랑구,425631,146,179.0,1.0,53.0,1.0,34.0,0.0,29.0,0.0,198.0,7.0,47.0,77.0,1.0,199.0,1.0,209.0,0.0
2013,중랑구,422150,143,236.0,2.0,44.0,0.0,24.0,0.0,25.0,0.0,176.0,3.0,31.0,52.0,0.0,184.0,1.0,192.0,0.0
2014,중랑구,423284,135,247.0,2.0,39.0,0.0,14.0,0.0,20.0,0.0,160.0,3.0,19.0,29.0,0.0,234.0,0.0,247.0,0.0
2015,중랑구,421048,143,158.0,0.0,72.0,1.0,26.0,0.0,39.0,0.0,224.0,4.0,24.0,40.0,0.0,237.0,1.0,263.0,0.0
2016,중랑구,417259,127,191.0,1.0,15.0,0.0,8.0,0.0,95.0,4.0,136.0,3.0,13.0,15.0,0.0,200.0,0.0,218.0,0.0
2017,중랑구,414155,136,166.0,1.0,32.0,0.0,19.0,0.0,32.0,1.0,199.0,2.0,25.0,37.0,0.0,208.0,1.0,224.0,0.0
2018,중랑구,409763,130,173.0,1.0,33.0,0.0,21.0,1.0,34.0,3.0,183.0,3.0,29.0,49.0,0.0,140.0,1.0,145.0,0.0
2019,중랑구,404662,135,178.0,0.0,33.0,0.0,28.0,0.0,35.0,1.0,206.0,6.0,25.0,27.0,0.0,166.0,2.0,176.0,0.0
2020,중랑구,400161,120,183.0,2.0,30.0,0.0,12.0,0.0,19.0,0.0,108.0,2.0,25.0,27.0,0.0,209.0,1.0,235.0,0.0
2021,중랑구,394130,114,145.0,2.0,15.0,0.0,27.0,0.0,23.0,1.0,124.0,2.0,19.0,23.0,1.0,177.0,0.0,198.0,679114.0
2022,중랑구,391999,116,176.0,2.0,27.0,0.0,25.0,0.0,18.0,0.0,116.0,4.0,23.0,26.0,0.0,173.0,1.0,190.0,77677587.0
2023,중랑구,388663,105,172.0,0.0,19.0,0.0,30.0,0.0,28.0,0.0,95.0,1.0,22.0,25.0,0.0,161.0,1.0,180.0,81493710.0
2024,중랑구,386423,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85234270.0
2025,중랑구,384320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21657540.0
