자치구,년월,버스승객수,발생건수,사망자수,부상자수
광진구,'2020.12,0,61,0,83
광진구,'2021.01,0,72,0,94
광진구,'2021.02,0,64,0,88
광진구,'2021.03,0,91,0,134
광진구,'2021.04,0,99,0,131
광진구,'2021.05,0,93,0,116
광진구,'2021.06,0,66,0,85
광진구,'2021.07,0,81,1,110
광진구,'2021.08,0,85,1,101
광진구,'2021.09,0,71,1,94
광진구,'2021.10,0,82,0,108
광진구,'2021.11,0,67,1,88
광진구,'2021.12,0,51,0,67
광진구,'2022.01,2494307,61,0,77
광진구,'2022.02,2184907,58,0,81
광진구,'2022.03,2480212,59,0,80
광진구,'2022.04,2740095,56,1,99
광진구,'2022.05,2919346,69,0,83
광진구,'2022.06,2807663,46,0,65
광진구,'2022.07,2989246,59,1,73
광진구,'2022.08,2994392,46,1,54
광진구,'2022.09,2795538,59,3,77
광진구,'2022.10,2971587,79,0,120
광진구,'2022.11,2896049,51,2,61
광진구,'2022.12,2966517,65,1,96
광진구,'2023.01,2671824,49,1,62
광진구,'2023.02,2656229,44,1,61
광진구,'2023.03,3029198,63,0,78
광진구,'2023.04,2911945,43,0,55
광진구,'2023.05,2973408,65,1,81
광진구,'2023.06,2944008,63,0,73
광진구,'2023.07,2990872,69,0,91
광진구,'2023.08,2963732,66,0,80
광진구,'2023.09,2856019,54,0,64
광진구,'2023.10,2884343,61,1,79
광진구,'2023.11,2941015,67,0,80
광진구,'2023.12,2987894,73,0,95
광진구,'2024.01,2841805,44,0,65
광진구,'2024.02,2652013,65,0,94
광진구,'2024.03,3026628,72,1,96
광진구,'2024.04,3051463,57,1,67
광진구,'2024.05,3143662,84,1,96
광진구,'2024.06,3036977,93,0,115
광진구,'2024.07,3189797,53,0,70
광진구,'2024.08,3248893,56,1,73
광진구,'2024.09,3106706,72,0,97
광진구,'2024.10,3289109,65,0,78
광진구,'2024.11,3249715,64,0,83
광진구,'2024.12,3284792,60,0,84
광진구,'2025.01,2683981,0,0,0
광진구,'2025.02,2883922,0,0,0
광진구,'2025.03,3247349,0,0,0
광진구,'2025.04,626633,0,0,0
구로구,'2017.01,0,119,0,173
구로구,'2017.02,0,91,0,134
구로구,'2017.03,0,103,0,150
구로구,'2017.04,0,111,0,144
구로구,'2017.05,0,118,2,160
구로구,'2017.06,0,111,1,145
구로구,'2017.07,0,127,1,174
구로구,'2017.08,0,111,1,151
구로구,'2017.09,0,157,2,218
구로구,'2017.10,0,134,1,172
구로구,'2017.11,0,137,3,177
구로구,'2017.12,0,114,1,162
구로구,'2018.01,0,103,3,162
구로구,'2018.02,0,118,1,182
구로구,'2018.03,0,124,0,167
구로구,'2018.04,0,114,1,159
구로구,'2018.05,0,137,0,176
구로구,'2018.06,0,126,0,177
구로구,'2018.07,0,148,1,206
구로구,'2018.08,0,117,1,150
구로구,'2018.09,0,142,1,209
구로구,'2018.10,0,147,0,195
구로구,'2018.11,0,128,2,179
구로구,'2018.12,0,128,3,167
구로구,'2019.01,0,140,5,189
구로구,'2019.02,0,100,2,127
구로구,'2019.03,0,132,0,189
구로구,'2019.04,0,138,0,204
구로구,'2019.05,0,129,0,177
구로구,'2019.06,0,134,2,187
구로구,'2019.07,0,112,0,148
구로구,'2019.08,0,124,1,177
구로구,'2019.09,0,128,0,180
구로구,'2019.10,0,129,1,178
구로구,'2019.11,0,137,1,167
구로구,'2019.12,0,126,1,173
구로구,'2020.01,0,115,1,157
구로구,'2020.02,0,117,1,163
구로구,'2020.03,0,108,0,142
구로구,'2020.04,0,104,1,141
구로구,'2020.05,0,117,0,167
구로구,'2020.06,0,112,0,161
구로구,'2020.07,0,111,2,152
구로구,'2020.08,0,123,1,173
구로구,'2020.09,0,113,0,155
구로구,'2020.10,0,96,0,131
구로구,'2020.11,0,114,2,142
구로구,'2020.12,0,95,2,126
구로구,'2021.01,0,126,2,167
구로구,'2021.02,0,91,0,117
구로구,'2021.03,0,101,0,131
구로구,'2021.04,0,126,1,150
구로구,'2021.05,0,114,1,152
구로구,'2021.06,0,117,2,135
구로구,'2021.07,0,124,0,166
구로구,'2021.08,0,105,0,136
구로구,'2021.09,0,98,1,124
구로구,'2021.10,0,110,1,143
구로구,'2021.11,0,122,1,157
구로구,'2021.12,0,116,0,151
구로구,'2022.01,4416299,101,2,121
구로구,'2022.02,3765083,85,1,114
구로구,'2022.03,4195583,74,0,91
구로구,'2022.04,4641665,92,1,128
구로구,'2022.05,5007781,130,2,173
구로구,'2022.06,4872569,94,0,134
구로구,'2022.07,5141020,109,0,151
구로구,'2022.08,5101174,108,1,161
구로구,'2022.09,4759101,106,1,140
구로구,'2022.10,5039290,133,1,174
구로구,'2022.11,4992985,113,1,137
구로구,'2022.12,5013819,129,2,167
구로구,'2023.01,4564264,93,0,115
구로구,'2023.02,4492572,75,0,116
구로구,'2023.03,5120787,101,0,123
구로구,'2023.04,4915672,99,1,146
구로구,'2023.05,5045292,122,1,161
구로구,'2023.06,5023122,119,1,150
구로구,'2023.07,5117622,136,1,181
구로구,'2023.08,5016760,111,0,158
구로구,'2023.09,4813786,114,0,151
구로구,'2023.10,4959454,123,0,164
구로구,'2023.11,5173510,131,1,181
구로구,'2023.12,5175477,135,0,194
구로구,'2024.01,4970315,104,0,142
구로구,'2024.02,4605056,93,1,110
구로구,'2024.03,5185139,107,1,145
구로구,'2024.04,5236449,109,0,137
구로구,'2024.05,5332971,134,0,164
구로구,'2024.06,5179687,119,1,150
구로구,'2024.07,5495130,108,1,157
구로구,'2024.08,5380432,114,0,139
구로구,'2024.09,5074553,102,1,135
구로구,'2024.10,5322638,117,1,191
구로구,'2024.11,5325227,120,0,148
구로구,'2024.12,5432870,93,1,118
구로구,'2025.01,4430305,0,0,0
구로구,'2025.02,4717469,0,0,0
구로구,'2025.03,5393457,0,0,0
구로구,'2025.04,1065895,0,0,0
금천구,'2017.01,0,62,2,103
금천구,'2017.02,0,63,0,102
금천구,'2017.03,0,60,1,75
금천구,'2017.04,0,68,0,103
금천구,'2017.05,0,65,0,93
금천구,'2017.06,0,72,1,95
