구,연도,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,거주인구,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
관악구,2020,5.0,1128.0,99.0,89.0,5.0,1436.0,123.0,111.0,199.0,6172014.0,68.0,915.0,37.0,78.0,1189.0,41.0,329.0,1087.0,28.0,346.0,1456.0,30.0,356.8,2.6,99.9
관악구,2021,16.0,1175.0,94.0,92.0,19.0,1508.0,127.0,122.0,231.0,6023577.0,88.0,889.0,25.0,125.0,1147.0,30.0,315.0,1064.0,40.0,334.0,1454.0,49.0,366.2,1.6,101.8
관악구,2022,4.0,1017.0,73.0,66.0,6.0,1356.0,85.0,81.0,278.0,6009459.0,85.0,727.0,28.0,118.0,973.0,34.0,283.0,851.0,38.0,304.0,1197.0,43.0,306.2,1.8,83.5
관악구,2023,3.0,806.0,61.0,88.0,3.0,1044.0,77.0,113.0,247.0,6010569.0,74.0,583.0,16.0,87.0,789.0,24.0,286.0,671.0,23.0,309.0,930.0,23.0,251.5,2.0,70.0
광진구,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,1195.0,25.0,369.0,1906.0,28.0,599.8,5.5,146.4
광진구,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,1258.0,28.0,350.0,1963.0,36.0,612.8,2.9,149.1
광진구,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,1250.0,29.0,417.0,1948.0,48.0,620.1,4.4,154.4
광진구,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,4656783.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,1253.0,40.0,378.0,2046.0,63.0,637.8,4.4,151.6
광진구,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,4648548.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,1240.0,37.0,404.0,1908.0,49.0,604.1,6.7,148.9
광진구,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,4633053.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,1148.0,33.0,376.0,1811.0,42.0,569.0,4.4,139.7
